# step,total_steps,time_step
1,100,999
2,100,996
3,100,992
4,100,989
5,100,985
6,100,982
7,100,978
8,100,975
9,100,971
10,100,967
11,100,963
12,100,960
13,100,956
14,100,952
15,100,948
16,100,944
17,100,939
18,100,935
19,100,931
20,100,927
21,100,922
22,100,918
23,100,913
24,100,909
25,100,904
26,100,899
27,100,894
28,100,889
29,100,884
30,100,879
31,100,874
32,100,869
33,100,864
34,100,858
35,100,853
36,100,847
37,100,841
38,100,835
39,100,829
40,100,823
41,100,817
42,100,811
43,100,805
44,100,798
45,100,792
46,100,785
47,100,778
48,100,771
49,100,764
50,100,757
51,100,749
52,100,742
53,100,734
54,100,726
55,100,718
56,100,710
57,100,701
58,100,693
59,100,684
60,100,675
61,100,666
62,100,656
63,100,647
64,100,637
65,100,627
66,100,617
67,100,606
68,100,596
69,100,585
70,100,573
71,100,562
72,100,550
73,100,538
74,100,525
75,100,512
76,100,499
77,100,486
78,100,472
79,100,458
80,100,443
81,100,428
82,100,412
83,100,396
84,100,380
85,100,363
86,100,345
87,100,327
88,100,309
89,100,290
90,100,270
91,100,249
92,100,228
93,100,206
94,100,184
95,100,160
96,100,136
97,100,111
98,100,84
99,100,57
100,100,29
1,50,999
2,50,992
3,50,985
4,50,978
5,50,971
6,50,963
7,50,956
8,50,948
9,50,939
10,50,931
11,50,922
12,50,913
13,50,904
14,50,894
15,50,884
16,50,874
17,50,864
18,50,853
19,50,841
20,50,829
21,50,817
22,50,805
23,50,792
24,50,778
25,50,764
26,50,749
27,50,734
28,50,718
29,50,701
30,50,684
31,50,666
32,50,647
33,50,627
34,50,606
35,50,585
36,50,562
37,50,538
38,50,512
39,50,486
40,50,458
41,50,428
42,50,396
43,50,363
44,50,327
45,50,290
46,50,249
47,50,206
48,50,160
49,50,111
50,50,57
1,20,999
2,20,982
3,20,963
4,20,944
5,20,922
6,20,899
7,20,874
8,20,847
9,20,817
10,20,785
11,20,749
12,20,710
13,20,666
14,20,617
15,20,562
16,20,499
17,20,428
18,20,345
19,20,249
20,20,136
1,10,999
2,10,963
3,10,922
4,10,874
5,10,817
6,10,749
7,10,666
8,10,562
9,10,428
10,10,249
1,5,999
2,5,922
3,5,817
4,5,666
5,5,428
