#run_id,world_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,8,5,1,3,5,544,720,[<wan_i2v.WanGenTimer object at 0x7fb3502b05c0>]
1,8,41,2,3,41,544,720,0.093,0.021,0.779,0.157,1.275,0.182,1.077,3.685
1,8,41,4,3,41,544,720,0.092,0.021,0.778,0.157,2.547,0.207,1.077,4.982
1,8,41,5,3,41,544,720,0.094,0.021,0.777,0.157,3.186,0.219,1.077,5.633
1,8,41,10,3,41,544,720,0.092,0.020,0.777,0.157,6.367,0.282,1.077,8.875
1,8,41,20,3,41,544,720,0.090,0.020,0.779,0.157,12.714,0.404,1.078,15.344
1,8,41,50,3,41,544,720,0.095,0.022,0.778,0.157,31.831,0.779,1.077,34.845
1,8,61,1,3,61,544,720,0.093,0.022,1.228,0.158,0.981,0.179,1.719,4.485
1,8,61,2,3,61,544,720,0.093,0.021,1.227,0.157,1.956,0.200,1.719,5.479
1,8,61,4,3,61,544,720,0.093,0.022,1.227,0.157,3.913,0.242,1.720,7.479
1,8,61,5,3,61,544,720,0.093,0.022,1.226,0.157,4.896,0.265,1.720,8.483
1,8,61,10,3,61,544,720,0.094,0.022,1.227,0.157,9.783,0.371,1.720,13.478
1,8,61,20,3,61,544,720,0.094,0.021,1.227,0.157,19.577,0.583,1.721,23.486
1,8,61,50,3,61,544,720,0.094,0.021,1.226,0.157,48.980,1.227,1.720,53.532
1,8,81,1,3,81,544,720,0.093,0.021,1.678,0.157,1.357,0.187,2.362,5.962
1,8,81,2,3,81,544,720,0.092,0.021,1.674,0.157,2.713,0.218,2.363,7.344
1,8,81,4,3,81,544,720,0.091,0.022,1.677,0.157,5.419,0.281,2.363,10.116
1,8,81,5,3,81,544,720,0.092,0.022,1.675,0.157,6.780,0.311,2.362,11.508
1,8,81,10,3,81,544,720,0.093,0.022,1.676,0.157,13.567,0.469,2.363,18.453
1,8,81,20,3,81,544,720,0.092,0.022,1.675,0.157,27.137,0.780,2.364,32.333
1,8,81,50,3,81,544,720,0.094,0.023,1.674,0.157,67.866,1.715,2.364,74.001
2,8,5,1,3,5,544,720,0.092,0.021,0.027,0.094,0.301,0.096,0.013,0.717
2,8,5,2,3,5,544,720,0.091,0.021,0.028,0.094,0.584,0.097,0.013,0.999
