#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,8,8,1,5,1,3,5,544,720,0.357,0.469,0.153,0.027,11.393,0.031,0.046,12.578
0,8,8,1,81,10,3,81,544,720,0.087,0.022,1.505,0.136,12.875,0.549,2.089,17.366
0,8,8,1,81,50,3,81,544,720,0.088,0.023,1.490,0.136,64.663,1.634,2.101,70.235
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,4,4,1,5,1,3,5,544,720,0.305,0.408,0.148,0.030,4.317,0.034,0.046,5.385
0,4,4,1,81,10,3,81,544,720,0.081,0.021,1.494,0.136,24.185,0.806,2.101,28.913
0,4,4,1,81,50,3,81,544,720,0.087,0.023,1.497,0.137,121.473,3.095,2.099,128.504
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,8,8,1,5,1,3,5,544,720,0.371,0.470,0.150,0.028,11.370,0.032,0.048,12.570
0,8,8,1,81,10,3,81,544,720,0.083,0.021,1.507,0.136,12.741,0.547,2.079,17.209
0,8,8,1,81,50,3,81,544,720,0.088,0.022,1.510,0.137,64.105,1.606,2.078,69.649
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,8,8,1,5,1,3,5,544,720,0.344,0.461,0.152,0.029,11.194,0.031,0.047,12.359
0,8,8,1,81,10,3,81,544,720,0.083,0.021,1.514,0.136,12.929,0.550,2.105,17.430
0,8,8,1,81,50,3,81,544,720,0.091,0.023,1.514,0.137,64.911,1.624,2.108,70.504
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
