#run_num,steps,width,height,gpu_model,frequency,power,peak_power,dit_it,vae_decode,total
0,0,640,480,NVIDIA A100-SXM4-80GB,210,61.0,61.0,0.0,0.0,0.0
1,0,640,480,NVIDIA A100-SXM4-80GB,405,63.0,63.0,0.0,0.0,0.0
2,0,640,480,NVIDIA A100-SXM4-80GB,795,63.2,63.2,0.0,0.0,0.0
3,0,640,480,NVIDIA A100-SXM4-80GB,990,67.9,67.9,0.0,0.0,0.0
4,0,640,480,NVIDIA A100-SXM4-80GB,1200,73.1,73.1,0.0,0.0,0.0
5,0,640,480,NVIDIA A100-SXM4-80GB,1410,86.5,86.5,0.0,0.0,0.0
6,4,640,480,NVIDIA A100-SXM4-80GB,210,101.2,114.93,64.57,28.5,295.03
7,4,640,480,NVIDIA A100-SXM4-80GB,405,140.0,147.0,34.12,16.44,157.03
8,4,640,480,NVIDIA A100-SXM4-80GB,795,204.0,229.0,17.66,9.44,82.45
9,4,640,480,NVIDIA A100-SXM4-80GB,990,250.0,270.0,14.38,7.99,67.53
10,4,640,480,NVIDIA A100-SXM4-80GB,1200,301.0,345.0,12.18,7.04,58.55
11,4,640,480,NVIDIA A100-SXM4-80GB,1410,390.0,441.94,11.29,6.47,54.26
#H100
#MEM_CLOCK=2619
#GRAPHICS_CLOCKS=(1980 1770 1590 1410 1200 990 795 405 210)
# A100
#MEM_CLOCK=1593 
#GRAPHICS_CLOCKS=(1410 1200 990 795)
#for GPU in {0..7}; do sudo nvidia-smi -i "$GPU" -ac "$MEM_CLOCK","$CLK" done
#watch -n 1 nvidia-smi --query-gpu=index,clocks.mem,clocks.gr,power.draw --format=csv
