#run_id,world_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,8,5,1,3,5,544,720,0.347,0.472,0.157,0.036,11.539,0.040,0.050,12.755
0,8,81,10,3,81,544,720,0.090,0.022,1.689,0.156,13.368,0.576,2.363,18.365
0,8,81,1,3,81,544,720,0.094,0.023,1.671,0.156,1.361,0.186,2.361,5.954
0,8,81,2,3,81,544,720,0.094,0.022,1.689,0.157,2.679,0.216,2.361,7.320
0,8,81,4,3,81,544,720,0.092,0.022,1.695,0.156,5.371,0.277,2.361,10.088
0,8,81,5,3,81,544,720,0.099,0.023,1.691,0.157,6.703,0.307,2.362,11.445
0,8,81,20,3,81,544,720,0.096,0.023,1.689,0.156,26.898,0.766,2.362,32.096
0,8,81,50,3,81,544,720,0.094,0.023,1.689,0.157,67.161,1.682,2.363,73.273
0,8,81,10,3,81,544,720,0.095,0.023,1.692,0.157,13.446,0.462,2.362,18.338
0,8,5,10,3,5,544,720,0.094,0.022,0.033,0.093,2.991,0.105,0.013,3.425
0,8,5,1,3,5,544,720,0.090,0.022,0.030,0.093,0.307,0.094,0.013,0.721
0,8,5,2,3,5,544,720,0.091,0.021,0.030,0.094,0.605,0.095,0.013,1.021
0,8,5,4,3,5,544,720,0.095,0.023,0.031,0.093,1.216,0.097,0.014,1.641
0,8,5,5,3,5,544,720,0.092,0.023,0.031,0.093,1.521,0.097,0.014,1.942
0,8,5,20,3,5,544,720,0.093,0.022,0.030,0.093,6.005,0.113,0.014,6.443
0,8,5,50,3,5,544,720,0.093,0.023,0.030,0.093,14.989,0.141,0.014,15.456
0,8,5,10,3,5,544,720,0.093,0.023,0.030,0.093,3.019,0.103,0.014,3.446
0,8,9,10,3,9,544,720,0.092,0.022,0.060,0.154,3.005,0.170,0.054,3.658
0,8,9,1,3,9,544,720,0.093,0.022,0.059,0.155,0.310,0.157,0.053,0.947
0,8,9,2,3,9,544,720,0.093,0.022,0.059,0.156,0.608,0.158,0.053,1.247
0,8,9,4,3,9,544,720,0.095,0.021,0.058,0.155,1.203,0.162,0.053,1.848
0,8,9,5,3,9,544,720,0.099,0.027,0.060,0.155,1.615,0.161,0.054,2.272
