#run_id,world_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,16,5,1,3,5,544,720,0.498,0.475,0.144,0.041,13.974,0.052,0.049,15.340
0,16,81,10,3,81,544,720,0.231,0.021,1.674,0.156,16.728,0.580,2.365,21.854
0,16,81,1,3,81,544,720,0.220,0.022,1.678,0.157,1.680,0.186,2.364,6.408
0,16,81,2,3,81,544,720,0.261,0.021,1.658,0.157,3.355,0.216,2.364,8.133
0,16,81,4,3,81,544,720,0.218,0.023,1.677,0.157,6.629,0.273,2.364,11.443
0,16,81,5,3,81,544,720,0.221,0.022,1.676,0.157,8.307,0.300,2.366,13.151
0,16,81,20,3,81,544,720,0.222,0.022,1.677,0.157,33.132,0.744,2.365,38.421
0,16,81,50,3,81,544,720,0.264,0.022,1.679,0.157,82.905,1.634,2.366,89.134
0,16,81,10,3,81,544,720,0.221,0.022,1.680,0.157,16.568,0.453,2.365,21.568
0,16,5,10,3,5,544,720,0.221,0.024,0.031,0.094,8.705,0.189,0.014,9.349
0,16,5,1,3,5,544,720,0.221,0.021,0.030,0.093,0.861,0.103,0.013,1.413
0,16,5,2,3,5,544,720,0.221,0.021,0.028,0.094,1.718,0.111,0.014,2.277
0,16,5,4,3,5,544,720,0.220,0.022,0.028,0.094,3.443,0.132,0.014,4.022
0,16,5,5,3,5,544,720,0.218,0.021,0.028,0.093,4.312,0.139,0.014,4.896
0,16,5,20,3,5,544,720,0.221,0.021,0.030,0.093,17.243,0.281,0.015,17.976
0,16,5,50,3,5,544,720,0.222,0.021,0.031,0.092,43.051,0.557,0.015,44.063
0,16,5,10,3,5,544,720,0.220,0.023,0.029,0.093,8.612,0.184,0.014,9.248
0,16,9,10,3,9,544,720,0.219,0.022,0.059,0.154,9.300,0.254,0.055,10.164
0,16,9,1,3,9,544,720,0.219,0.022,0.059,0.155,0.956,0.165,0.053,1.727
0,16,9,2,3,9,544,720,0.218,0.023,0.059,0.156,1.798,0.174,0.053,2.577
0,16,9,4,3,9,544,720,0.219,0.022,0.057,0.156,3.591,0.194,0.053,4.388
0,16,9,5,3,9,544,720,0.220,0.022,0.059,0.155,4.475,0.204,0.053,5.287
0,16,9,20,3,9,544,720,0.220,0.023,0.060,0.156,17.911,0.353,0.053,18.873
0,16,9,50,3,9,544,720,0.221,0.021,0.060,0.155,44.907,0.644,0.053,46.162
0,16,9,10,3,9,544,720,0.221,0.023,0.060,0.155,8.963,0.254,0.053,9.828
0,16,21,10,3,21,544,720,0.219,0.022,0.330,0.156,9.935,0.279,0.437,11.478
0,16,21,1,3,21,544,720,0.220,0.022,0.329,0.157,0.978,0.169,0.435,2.408
0,16,21,2,3,21,544,720,0.220,0.022,0.325,0.157,1.982,0.180,0.436,3.420
0,16,21,4,3,21,544,720,0.222,0.022,0.329,0.157,3.953,0.205,0.435,5.423
0,16,21,5,3,21,544,720,0.221,0.022,0.329,0.157,4.937,0.219,0.436,6.419
0,16,21,20,3,21,544,720,0.221,0.022,0.328,0.157,19.841,0.405,0.436,21.510
0,16,21,50,3,21,544,720,0.220,0.022,0.329,0.157,49.676,0.770,0.435,51.711
0,16,21,10,3,21,544,720,0.221,0.024,0.331,0.157,9.888,0.278,0.436,11.435
0,16,41,10,3,41,544,720,0.222,0.022,0.782,0.155,11.515,0.323,1.080,14.201
