#run_id,world_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,8,5,1,3,5,544,720,0.349,0.470,0.146,0.031,11.310,0.035,0.046,12.487
0,8,81,10,3,81,544,720,0.087,0.019,1.496,0.137,12.877,0.546,2.082,17.341
0,8,81,1,3,81,544,720,0.087,0.021,1.483,0.138,1.318,0.167,2.082,5.394
0,8,81,2,3,81,544,720,0.085,0.021,1.479,0.138,2.608,0.196,2.081,6.703
0,8,81,4,3,81,544,720,0.086,0.020,1.496,0.138,5.176,0.256,2.079,9.357
0,8,81,5,3,81,544,720,0.088,0.021,1.498,0.138,6.467,0.286,2.084,10.683
0,8,81,20,3,81,544,720,0.088,0.020,1.497,0.138,25.838,0.731,2.085,30.501
0,8,81,50,3,81,544,720,0.086,0.022,1.498,0.138,64.639,1.624,2.088,70.193
0,8,81,10,3,81,544,720,0.086,0.021,1.497,0.138,12.947,0.434,2.089,17.310
0,8,5,10,3,5,544,720,0.087,0.021,0.030,0.081,2.826,0.113,0.013,3.236
0,8,5,1,3,5,544,720,0.084,0.021,0.026,0.082,0.286,0.084,0.012,0.658
0,8,5,2,3,5,544,720,0.085,0.020,0.028,0.082,0.569,0.088,0.013,0.948
0,8,5,4,3,5,544,720,0.084,0.020,0.026,0.081,1.132,0.092,0.013,1.512
0,8,5,5,3,5,544,720,0.085,0.020,0.027,0.081,1.420,0.096,0.013,1.805
0,8,5,20,3,5,544,720,0.083,0.020,0.026,0.082,5.627,0.142,0.013,6.057
0,8,5,50,3,5,544,720,0.086,0.020,0.026,0.082,14.054,0.229,0.013,14.574
0,8,5,10,3,5,544,720,0.085,0.021,0.027,0.081,2.804,0.109,0.013,3.206
0,8,9,10,3,9,544,720,0.089,0.023,0.056,0.135,2.851,0.166,0.049,3.458
0,8,9,1,3,9,544,720,0.084,0.020,0.052,0.137,0.291,0.139,0.047,0.858
0,8,9,2,3,9,544,720,0.084,0.020,0.053,0.137,0.579,0.141,0.047,1.149
0,8,9,4,3,9,544,720,0.084,0.020,0.053,0.137,1.144,0.148,0.047,1.718
0,8,9,5,3,9,544,720,0.085,0.020,0.053,0.137,1.424,0.151,0.047,2.003
0,8,9,20,3,9,544,720,0.084,0.020,0.051,0.137,5.672,0.196,0.047,6.295
0,8,9,50,3,9,544,720,0.084,0.020,0.052,0.137,14.178,0.279,0.047,14.886
0,8,9,10,3,9,544,720,0.085,0.020,0.052,0.136,2.837,0.165,0.047,3.432
0,8,21,10,3,21,544,720,0.085,0.019,0.296,0.137,3.523,0.189,0.385,4.724
0,8,21,1,3,21,544,720,0.084,0.021,0.295,0.138,0.357,0.142,0.383,1.510
0,8,21,2,3,21,544,720,0.086,0.020,0.294,0.138,0.710,0.147,0.383,1.869
0,8,21,4,3,21,544,720,0.086,0.020,0.294,0.138,1.413,0.158,0.384,2.581
0,8,21,5,3,21,544,720,0.086,0.021,0.294,0.138,1.765,0.163,0.384,2.940
0,8,21,20,3,21,544,720,0.085,0.020,0.290,0.138,7.037,0.242,0.384,8.287
0,8,21,50,3,21,544,720,0.086,0.021,0.294,0.138,17.587,0.397,0.383,18.998
0,8,21,10,3,21,544,720,0.085,0.020,0.295,0.138,3.522,0.190,0.384,4.723
0,8,41,10,3,41,544,720,0.084,0.019,0.688,0.137,5.983,0.254,0.953,8.214
0,8,41,1,3,41,544,720,0.085,0.020,0.687,0.138,0.614,0.149,0.952,2.739
0,8,41,2,3,41,544,720,0.086,0.020,0.696,0.138,1.199,0.160,0.951,3.344
0,8,41,4,3,41,544,720,0.085,0.020,0.696,0.138,2.397,0.184,0.950,4.565
0,8,41,5,3,41,544,720,0.085,0.021,0.687,0.138,2.997,0.196,0.951,5.167
0,8,41,20,3,41,544,720,0.085,0.020,0.695,0.138,11.940,0.374,0.952,14.297
0,8,41,50,3,41,544,720,0.086,0.021,0.695,0.137,29.827,0.727,0.952,32.540
0,8,41,10,3,41,544,720,0.087,0.021,0.696,0.138,5.974,0.255,0.952,8.217
0,8,61,10,3,61,544,720,0.086,0.021,1.097,0.137,9.225,0.341,1.521,12.522
0,8,61,1,3,61,544,720,0.084,0.020,1.094,0.138,0.937,0.158,1.520,4.043
0,8,61,2,3,61,544,720,0.084,0.021,1.095,0.138,1.854,0.179,1.519,4.985
0,8,61,4,3,61,544,720,0.086,0.020,1.096,0.138,3.695,0.219,1.518,6.867
0,8,61,5,3,61,544,720,0.087,0.021,1.097,0.138,4.611,0.239,1.519,7.807
0,8,61,20,3,61,544,720,0.087,0.021,1.098,0.138,18.418,0.542,1.519,21.921
0,8,61,50,3,61,544,720,0.085,0.020,1.082,0.138,46.091,1.153,1.521,50.185
0,8,61,10,3,61,544,720,0.084,0.021,1.095,0.138,9.230,0.341,1.519,12.525
0,8,81,10,3,81,544,720,0.085,0.021,1.497,0.138,12.940,0.435,2.088,17.301
0,8,81,1,3,81,544,720,0.087,0.022,1.481,0.138,1.327,0.167,2.089,5.407
0,8,81,2,3,81,544,720,0.086,0.021,1.499,0.138,2.594,0.196,2.087,6.720
0,8,81,4,3,81,544,720,0.086,0.021,1.496,0.138,5.186,0.255,2.090,9.366
0,8,81,5,3,81,544,720,0.085,0.021,1.482,0.138,6.492,0.286,2.086,10.689
0,8,81,20,3,81,544,720,0.085,0.021,1.498,0.138,25.867,0.732,2.089,30.526
0,8,81,50,3,81,544,720,0.086,0.022,1.498,0.138,64.688,1.629,2.090,70.251
0,8,81,10,3,81,544,720,0.086,0.021,1.499,0.138,12.943,0.434,2.090,17.308
1,8,81,10,3,81,544,720,0.086,0.021,1.499,0.138,12.949,0.435,2.088,17.315
1,8,81,1,3,81,544,720,0.087,0.021,1.501,0.138,1.304,0.167,2.090,5.403
1,8,81,2,3,81,544,720,0.086,0.021,1.482,0.138,2.617,0.196,2.089,6.725
