#run_id,hw,world_size,ulysses_size,ring_size,batch_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
#run_id,hw,world_size,ulysses_size,ring_size,batch_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,NVIDIA H200,16,8,2,1,5,1,3,5,544,720,0.370,0.394,0.142,0.032,11.985,0.038,0.045,13.106
b,NVIDIA H200,16,8,2,1,81,10,3,81,544,720,0.087,0.020,1.494,0.136,8.918,0.453,2.074,13.311
0,NVIDIA H200,16,8,2,1,81,10,3,81,544,720,0.090,0.020,1.493,0.138,8.838,0.323,2.078,13.109
0,NVIDIA H200,16,8,2,2,81,10,3,81,544,720,0.119,0.022,3.097,0.138,16.532,0.513,4.367,24.961
0,NVIDIA H200,16,8,2,3,81,10,3,81,544,720,0.148,0.022,4.759,0.138,23.871,0.713,6.671,36.548
0,NVIDIA H200,16,8,2,4,81,10,3,81,544,720,0.187,0.023,6.398,0.138,31.281,0.906,8.978,48.175
0,NVIDIA H200,16,8,2,5,81,10,3,81,544,720,0.220,0.022,8.020,0.139,38.454,1.092,11.280,59.535
0,NVIDIA H200,16,8,2,6,81,10,3,81,544,720,0.253,0.021,9.550,0.139,46.333,1.301,13.586,71.539
0,NVIDIA H200,16,8,2,7,81,10,3,81,544,720,0.286,0.023,11.308,0.140,53.911,1.498,15.887,83.464
0,NVIDIA H200,16,8,2,8,81,10,3,81,544,720,0.310,0.022,12.819,0.140,61.881,1.703,18.189,95.507
0,NVIDIA H200,16,8,2,9,81,10,3,81,544,720,0.344,0.022,14.580,0.140,69.062,1.892,20.494,107.032
0,NVIDIA H200,16,8,2,10,81,10,3,81,544,720,0.377,0.023,16.189,0.141,76.944,2.098,22.798,119.107
#run_id,hw,world_size,ulysses_size,ring_size,batch_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,NVIDIA H200,16,8,2,1,5,1,3,5,544,720,0.347,0.388,0.152,0.028,12.158,0.032,0.048,13.256
b,NVIDIA H200,16,8,2,1,81,10,3,81,544,720,0.090,0.023,1.517,0.136,8.914,0.434,2.075,13.317
0,NVIDIA H200,16,8,2,1,81,10,3,81,544,720,0.103,0.033,1.505,0.139,8.892,0.322,2.081,13.199
0,NVIDIA H200,16,8,2,2,81,10,3,81,544,720,0.135,0.030,3.128,0.138,16.517,0.513,4.373,25.003
0,NVIDIA H200,16,8,2,3,81,10,3,81,544,720,0.150,0.023,4.782,0.138,23.837,0.705,6.678,36.534
0,NVIDIA H200,16,8,2,4,81,10,3,81,544,720,0.187,0.023,6.398,0.139,31.376,0.907,8.986,48.276
0,NVIDIA H200,16,8,2,5,81,10,3,81,544,720,0.221,0.022,8.021,0.139,38.452,1.096,11.296,59.543
0,NVIDIA H200,16,8,2,6,81,10,3,81,544,720,0.253,0.022,9.658,0.140,46.259,1.298,13.597,71.565
0,NVIDIA H200,16,8,2,7,81,10,3,81,544,720,0.285,0.023,11.294,0.140,53.793,1.501,15.903,83.321
0,NVIDIA H200,16,8,2,8,81,10,3,81,544,720,0.311,0.022,12.919,0.140,61.727,1.706,18.203,95.453
0,NVIDIA H200,16,8,2,9,81,10,3,81,544,720,0.346,0.023,14.563,0.141,69.147,1.903,20.509,107.094
0,NVIDIA H200,16,8,2,10,81,10,3,81,544,720,0.378,0.024,16.190,0.141,76.947,2.103,22.812,119.096
#run_id,hw,world_size,ulysses_size,ring_size,batch_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,NVIDIA H200,16,8,2,1,5,1,3,5,544,720,0.358,0.391,0.146,0.031,12.022,0.036,0.049,13.129
b,NVIDIA H200,16,8,2,1,81,10,3,81,544,720,0.086,0.021,1.500,0.136,8.927,0.447,2.075,13.319
0,NVIDIA H200,16,8,2,1,81,10,3,81,544,720,0.092,0.023,1.503,0.139,8.958,0.320,2.081,13.236
0,NVIDIA H200,16,8,2,2,81,10,3,81,544,720,0.120,0.025,3.148,0.138,16.454,0.508,4.373,24.934
0,NVIDIA H200,16,8,2,3,81,10,3,81,544,720,0.148,0.022,4.786,0.138,23.800,0.708,6.680,36.490
0,NVIDIA H200,16,8,2,4,81,10,3,81,544,720,0.187,0.023,6.432,0.139,31.221,0.903,8.986,48.136
0,NVIDIA H200,16,8,2,5,81,10,3,81,544,720,0.220,0.023,8.068,0.140,38.520,1.092,11.291,59.644
0,NVIDIA H200,16,8,2,6,81,10,3,81,544,720,0.253,0.022,9.703,0.140,46.169,1.293,13.599,71.507
0,NVIDIA H200,16,8,2,7,81,10,3,81,544,720,0.285,0.022,11.230,0.140,53.888,1.546,15.902,83.386
0,NVIDIA H200,16,8,2,8,81,10,3,81,544,720,0.311,0.024,12.971,0.140,61.640,1.706,18.205,95.425
0,NVIDIA H200,16,8,2,9,81,10,3,81,544,720,0.344,0.023,14.605,0.141,69.025,1.899,20.504,107.007
0,NVIDIA H200,16,8,2,10,81,10,3,81,544,720,0.377,0.022,16.238,0.142,76.736,2.090,22.810,118.926
#run_id,hw,world_size,ulysses_size,ring_size,batch_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,NVIDIA H200,32,8,4,1,5,1,3,5,544,720,0.364,0.413,0.131,0.031,12.487,0.035,0.051,13.607
b,NVIDIA H200,32,8,4,1,81,10,3,81,544,720,0.090,0.022,1.508,0.136,7.686,0.394,2.071,12.036
0,NVIDIA H200,32,8,4,1,81,10,3,81,544,720,0.095,0.021,1.505,0.139,7.123,0.267,2.073,11.353
0,NVIDIA H200,32,8,4,2,81,10,3,81,544,720,0.145,0.023,3.149,0.138,13.030,0.404,4.376,21.421
0,NVIDIA H200,32,8,4,3,81,10,3,81,544,720,0.150,0.024,4.796,0.138,17.874,0.552,6.663,30.415
0,NVIDIA H200,32,8,4,4,81,10,3,81,544,720,0.189,0.022,6.435,0.138,23.152,0.686,8.956,39.847
0,NVIDIA H200,32,8,4,5,81,10,3,81,544,720,0.224,0.022,8.066,0.139,28.792,0.830,11.255,49.638
0,NVIDIA H200,32,8,4,5,81,10,3,81,544,720,0.224,0.022,8.066,0.139,28.792,0.830,11.255,49.638
0,NVIDIA H200,32,8,4,6,81,10,3,81,544,720,0.257,0.022,9.710,0.140,34.147,0.968,13.557,59.150
0,NVIDIA H200,32,8,4,7,81,10,3,81,544,720,0.289,0.020,11.197,0.140,39.915,1.116,15.857,68.938
0,NVIDIA H200,32,8,4,8,81,10,3,81,544,720,0.315,0.022,12.825,0.141,44.901,1.262,18.158,78.071
0,NVIDIA H200,32,8,4,9,81,10,3,81,544,720,0.352,0.022,14.434,0.141,50.212,1.389,20.463,87.486
0,NVIDIA H200,32,8,4,10,81,10,3,81,544,720,0.381,0.020,16.054,0.141,55.641,1.573,22.755,97.105
#run_id,hw,world_size,ulysses_size,ring_size,batch_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,NVIDIA H200,24,8,3,1,5,1,3,5,544,720,0.441,0.380,0.148,0.032,12.766,0.040,0.046,13.951
b,NVIDIA H200,24,8,3,1,81,10,3,81,544,720,0.135,0.020,1.487,0.136,8.692,0.419,2.074,13.087
0,NVIDIA H200,24,8,3,1,81,10,3,81,544,720,0.153,0.019,1.488,0.139,8.122,0.297,2.078,12.419
0,NVIDIA H200,24,8,3,2,81,10,3,81,544,720,0.170,0.021,3.114,0.138,14.624,0.455,4.380,23.054
0,NVIDIA H200,24,8,3,3,81,10,3,81,544,720,0.169,0.020,4.747,0.139,19.988,0.607,6.670,32.555
0,NVIDIA H200,24,8,3,4,81,10,3,81,544,720,0.226,0.021,6.385,0.139,26.195,0.759,8.968,42.954
0,NVIDIA H200,24,8,3,5,81,10,3,81,544,720,0.235,0.021,7.932,0.139,33.078,0.934,11.274,53.922
0,NVIDIA H200,24,8,3,6,81,10,3,81,544,720,0.266,0.022,9.544,0.140,38.756,1.083,13.577,63.740
0,NVIDIA H200,24,8,3,7,81,10,3,81,544,720,0.302,0.022,11.161,0.140,44.650,1.245,15.878,73.794
0,NVIDIA H200,24,8,3,8,81,10,3,81,544,720,0.330,0.022,12.772,0.141,50.550,1.395,18.177,83.821
0,NVIDIA H200,24,8,3,9,81,10,3,81,544,720,0.366,0.021,14.392,0.141,56.807,1.560,20.484,94.245
0,NVIDIA H200,24,8,3,10,81,10,3,81,544,720,0.400,0.021,15.999,0.142,62.824,1.708,22.787,104.395
