#run_id,world_size,frame_num,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
0,4,21,5,3,21,544,720,2.52,2.19,2.63,0.28,56.57,2.24,1.12,68.25
0,4,21,10,3,21,544,720,0.17,0.04,0.53,0.30,11.93,0.54,0.82,14.53
0,4,21,20,3,21,544,720,0.17,0.03,0.54,0.30,22.97,0.78,0.82,25.81
0,4,21,50,3,21,544,720,0.17,0.04,0.53,0.30,57.62,1.51,0.82,61.20
0,4,41,5,3,41,544,720,0.17,0.03,1.31,0.30,11.33,0.55,2.06,15.95
0,4,41,10,3,41,544,720,0.17,0.03,1.31,0.30,21.74,0.81,2.06,26.62
0,4,41,20,3,41,544,720,0.17,0.03,1.31,0.30,43.50,1.31,2.06,48.88
0,4,41,50,3,41,544,720,0.17,0.03,1.31,0.30,108.66,2.83,2.06,115.57
0,4,61,5,3,61,544,720,0.17,0.04,2.08,0.30,16.59,0.69,3.30,23.37
0,4,61,10,3,61,544,720,0.17,0.03,2.08,0.30,32.93,1.09,3.62,40.11
0,4,61,20,3,61,544,720,0.17,0.03,2.08,0.30,65.95,1.89,3.30,73.92
0,4,61,50,3,61,544,720,0.17,0.03,2.09,0.30,164.80,4.28,3.30,175.18
0,4,81,5,3,81,544,720,0.17,0.03,2.85,0.30,23.72,0.88,4.53,32.70
0,4,81,10,3,81,544,720,0.17,0.03,2.85,0.30,47.42,1.47,4.54,56.98
0,4,81,20,3,81,544,720,0.17,0.03,2.85,0.30,95.08,2.64,4.55,105.82
0,4,81,50,3,81,544,720,0.17,0.03,2.85,0.30,238.08,6.16,4.55,252.36
1,4,21,5,3,21,544,720,0.17,0.03,0.54,0.30,5.76,0.42,0.82,8.25
1,4,21,10,3,21,544,720,0.17,0.03,0.54,0.30,11.53,0.54,0.82,14.14
1,4,21,20,3,21,544,720,0.17,0.03,0.53,0.30,23.07,0.79,0.82,25.92
1,4,21,50,3,21,544,720,0.17,0.03,0.53,0.30,57.68,1.51,0.82,61.26
1,4,41,5,3,41,544,720,0.17,0.03,1.31,0.30,10.87,0.55,2.06,15.49
1,4,41,10,3,41,544,720,0.17,0.03,1.31,0.30,21.76,0.81,2.06,26.63
1,4,41,20,3,41,544,720,0.17,0.03,1.31,0.30,43.53,1.32,2.06,48.92
1,4,41,50,3,41,544,720,0.17,0.03,1.31,0.30,108.88,2.83,2.06,115.80
1,4,61,5,3,61,544,720,0.17,0.03,2.08,0.30,16.66,0.69,3.30,23.44
1,4,61,10,3,61,544,720,0.17,0.03,2.08,0.30,33.01,1.10,3.30,40.20
1,4,61,20,3,61,544,720,0.17,0.03,2.09,0.30,66.04,1.89,3.30,74.03
1,4,61,50,3,61,544,720,0.17,0.03,2.08,0.30,165.23,4.29,3.31,175.62
1,4,81,5,3,81,544,720,0.17,0.03,2.85,0.30,23.79,0.88,4.55,32.77
1,4,81,10,3,81,544,720,0.17,0.03,2.86,0.30,47.56,1.47,4.54,57.13
1,4,81,20,3,81,544,720,0.17,0.03,2.86,0.30,95.17,2.64,4.54,105.91
1,4,81,50,3,81,544,720,0.17,0.03,2.86,0.30,238.25,6.17,4.55,252.54
2,4,21,5,3,21,544,720,0.17,0.03,0.53,0.30,5.77,0.42,0.82,8.25
2,4,21,10,3,21,544,720,0.17,0.03,0.53,0.30,11.53,0.54,0.82,14.13
2,4,21,20,3,21,544,720,0.17,0.03,0.53,0.30,23.09,0.78,0.82,25.94
2,4,21,50,3,21,544,720,0.17,0.03,0.54,0.30,57.76,1.51,0.82,61.35
2,4,41,5,3,41,544,720,0.17,0.03,1.31,0.30,10.88,0.55,2.06,15.51
2,4,41,10,3,41,544,720,0.17,0.03,1.31,0.30,21.74,0.81,2.06,26.63
2,4,41,20,3,41,544,720,0.17,0.03,1.31,0.30,43.49,1.31,2.06,48.88
2,4,41,50,3,41,544,720,0.17,0.03,1.31,0.30,108.87,2.84,2.06,115.79
2,4,61,5,3,61,544,720,0.17,0.03,2.08,0.30,16.52,0.70,3.31,23.31
2,4,61,10,3,61,544,720,0.17,0.03,2.08,0.30,33.01,1.10,3.31,40.20
