#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,8,1,8,5,1,3,5,544,720,0.361,0.413,0.145,0.040,8.005,0.047,0.049,9.170
0,8,1,8,81,10,3,81,544,720,0.090,0.021,1.676,0.156,18.457,0.689,2.363,23.557
0,8,1,8,81,50,3,81,544,720,0.095,0.023,1.677,0.157,89.700,2.173,2.361,96.297
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,8,8,1,5,1,3,5,544,720,0.368,0.430,0.145,0.041,11.023,0.046,0.049,12.208
0,8,8,1,81,10,3,81,544,720,0.091,0.020,1.668,0.156,13.664,0.593,2.358,18.673
0,8,8,1,81,50,3,81,544,720,0.093,0.023,1.671,0.157,68.954,1.747,2.357,75.134
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,8,8,1,5,1,3,5,544,720,0.362,0.406,0.145,0.041,11.440,0.045,0.050,12.596
0,8,8,1,81,10,3,81,544,720,0.090,0.020,1.673,0.156,13.434,0.608,2.366,18.447
0,8,8,1,81,50,3,81,544,720,0.094,0.021,1.672,0.157,67.532,1.705,2.365,73.650
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,8,8,1,5,1,3,5,544,720,0.361,0.455,0.149,0.038,11.414,0.042,0.050,12.617
0,8,8,1,81,10,3,81,544,720,0.092,0.022,1.684,0.156,13.391,0.613,2.357,18.421
0,8,8,1,81,50,3,81,544,720,0.094,0.023,1.686,0.156,67.408,1.696,2.359,73.531
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,4,4,1,5,1,3,5,544,720,0.323,0.413,0.142,0.041,4.368,0.044,0.048,5.487
0,4,4,1,81,10,3,81,544,720,0.089,0.020,1.664,0.156,25.163,0.848,2.360,30.402
0,4,4,1,81,50,3,81,544,720,0.091,0.021,1.675,0.157,126.156,3.226,2.359,133.789
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,8,8,1,5,1,3,5,544,720,0.351,0.445,0.151,0.038,11.356,0.041,0.049,12.541
0,8,8,1,81,10,3,81,544,720,0.089,0.021,1.664,0.156,13.494,0.564,2.365,18.454
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,2,2,1,5,1,3,5,544,720,0.310,0.386,0.141,0.041,1.375,0.047,0.048,2.453
0,2,2,1,81,10,3,81,544,720,0.083,0.020,1.664,0.156,48.326,1.437,2.366,54.149
0,2,2,1,81,50,3,81,544,720,0.087,0.020,1.661,0.157,241.176,6.201,2.362,251.767
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,8,8,1,5,1,3,5,544,720,0.367,0.434,0.150,0.038,11.396,0.042,0.050,12.587
0,8,8,1,81,10,3,81,544,720,0.090,0.021,1.683,0.156,13.443,0.587,2.360,18.445
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,1,1,1,5,1,3,5,544,720,0.281,0.354,0.135,0.041,0.494,0.090,0.047,1.572
0,1,1,1,81,10,3,81,544,720,0.066,0.019,1.498,0.156,84.066,8.559,2.360,96.821
0,1,1,1,81,50,3,81,544,720,0.070,0.021,1.499,0.157,418.459,41.724,2.356,464.387


# HOPE!
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,16,8,2,5,1,3,5,544,720,0.830,0.419,0.128,0.037,15.498,0.041,0.051,17.159
0,16,8,2,81,10,3,81,544,720,0.097,0.022,1.687,0.156,9.556,0.478,2.362,14.463
0,16,8,2,81,5,3,81,544,720,0.097,0.025,1.672,0.156,4.744,0.251,2.362,9.412
0,16,8,2,81,50,3,81,544,720,0.099,0.025,1.692,0.157,47.310,1.113,2.645,52.943
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,8,8,1,5,1,3,5,544,720,0.366,0.398,0.148,0.041,14.670,0.046,0.050,15.825
0,8,8,1,81,10,3,81,544,720,0.091,0.020,1.673,0.156,13.466,0.581,2.363,18.452
0,8,8,1,81,5,3,81,544,720,0.102,0.026,1.684,0.157,6.732,0.311,2.362,11.476
0,8,8,1,81,50,3,81,544,720,0.100,0.025,1.683,0.157,67.579,1.712,2.364,73.726
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,8,8,1,5,1,3,5,544,720,0.368,0.442,0.149,0.038,11.496,0.042,0.049,12.693
0,8,8,1,81,10,3,81,544,720,0.090,0.021,1.681,0.156,13.426,0.631,2.366,18.472
0,8,8,1,81,50,3,81,544,720,0.094,0.021,1.683,0.157,67.592,1.696,2.370,73.716
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,16,8,2,5,1,3,5,544,720,0.376,0.439,0.147,0.041,12.071,0.047,0.051,13.279
0,16,8,2,81,10,3,81,544,720,0.094,0.020,1.670,0.156,9.781,0.479,2.362,14.667
0,16,8,2,81,50,3,81,544,720,0.100,0.023,1.672,0.157,48.182,1.145,2.363,53.753
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,32,8,4,5,1,3,5,544,720,0.386,0.427,0.154,0.037,12.790,0.042,0.055,13.997
0,32,8,4,81,10,3,81,544,720,0.100,0.023,1.681,0.156,7.968,0.425,2.362,12.827
0,32,8,4,81,50,3,81,544,720,0.104,0.023,1.685,0.156,37.344,0.837,2.364,42.627
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,40,8,5,5,1,3,5,544,720,0.450,0.429,0.145,0.041,13.102,0.047,0.051,14.380
0,40,8,5,81,10,3,81,544,720,0.170,0.021,1.677,0.156,8.102,0.409,2.363,13.007
0,40,8,5,81,50,3,81,544,720,0.155,0.021,1.657,0.157,37.871,0.826,2.365,43.161
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,40,8,5,5,1,3,5,544,720,0.439,0.424,0.150,0.039,12.648,0.044,0.052,13.903
0,40,8,5,81,10,3,81,544,720,0.154,0.022,1.676,0.156,8.057,0.412,2.363,12.944
0,40,8,5,81,50,3,81,544,720,0.155,0.022,1.676,0.157,37.623,0.821,2.364,42.926
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,24,8,3,5,1,3,5,544,720,0.419,0.441,0.126,0.037,12.583,0.044,0.052,13.812
