num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time
8,96,0,0,62.76601867743377,0.025417469663905706,45.200297139789456,411.49370246622004
0,112,0,0,54.07001867743377,0.022059363688924444,44.72532364572511,356.72448848947715
0,304,0,0,49.90001867743377,0.006645218867536232,48.00851252142296,141.07242154003086
8,16,0,0,1415.5988171412541,0.14156832936400132,40.894260445554785,2015.5988171412541
16,32,0,0,408.78782523729376,0.06836563316108876,40.934368197406634,1008.7878252372938
16,96,0,0,59.63201867743377,0.02489390309442077,45.02090364713507,401.17636913288675
8,80,0,0,62.76601867743377,0.03073488515175148,44.5369785760734,484.44864295946405
0,108,0,0,54.07001867743377,0.023011959592113582,44.70810720760096,369.79410428123214
0,576,0,0,48.54411653676099,0.0027090413819337586,55.26720353863606,85.71216429689215
0,288,0,0,49.90001867743377,0.007149559825624221,47.71261418596339,147.99197948499807
8,8,0,0,2960.0110157584472,0.2516764343183904,40.34679151192907,3560.0110157584472
16,72,0,0,63.83973684004082,0.032385563435922894,43.375104258707744,508.1696671809029
8,192,0,0,62.76601867743377,0.012048760770320677,49.56323524061593,228.07501644623346
0,96,0,0,54.93001867743377,0.026145968277813153,44.45387719732245,413.65270344903024
0,256,0,0,49.90001867743377,0.008354683014474262,47.14957273835827,164.52626963602063
8,72,0,0,56.46373684004082,0.034874530051675214,44.38832239294353,534.9422891490248
0,80,0,0,54.93001867743377,0.03192365497779449,44.14395415200622,492.9225649727741
0,512,0,0,48.54411653676099,0.003351101658658749,54.17536883385499,94.52123129355903
0,16,0,0,2196.837875196623,0.19984751140810414,50.09447394241063,2796.837875196623
8,0,0,0,15202.293066154743,1.1395620931375279,37.574341290634614,15802.293066154743
8,176,0,0,62.76601867743377,0.01326948794607124,48.81778462352773,244.8233932975312
16,24,0,0,658.4638054738318,0.08638356174975773,39.79542211531695,1258.4638054738318
0,240,0,0,49.90001867743377,0.009082750120434267,46.88645745527076,174.51535032979191
0,72,0,0,54.93001867743377,0.035989162267279814,44.22532679375175,548.7013249845129
8,64,0,0,66.76601867743376,0.03836636552637728,43.90647014161041,593.15255369933
0,480,0,0,48.96001867743377,0.0035362101699248417,52.3775458001966,97.4768222088026
16,16,0,0,1195.8149064538084,0.1255490938911554,40.705137879619656,1795.8149064538084
8,160,0,0,62.76601867743377,0.014735540105657243,48.08323589882727,264.93762892705115
0,224,0,0,49.90001867743377,0.00991946792438964,46.6393092951794,185.99511860005964
0,64,0,0,54.93001867743377,0.040735009514963894,43.9763880420913,613.8143492227383
16,56,0,0,67.83973684004081,0.041119019012656466,42.62439504000759,631.9926776936875
8,56,0,0,69.20073684004082,0.04358458228984915,43.41125712774725,667.1812058567712
0,448,0,0,48.96001867743377,0.003915430715094216,51.495024522263655,102.67972808852642
16,8,0,0,1999.06129841048,0.18109875812684756,35.63601824709481,2599.06129841048
0,208,0,0,51.40001867743377,0.01077734486227995,46.39779250642155,199.26519018791467
0,56,0,0,106.07043463711386,0.04745921399123033,44.26277102469552,706.0704346371139
8,144,0,0,62.76601867743377,0.016512909351315327,47.32683547931624,289.32313497748004
8,48,0,0,164.6196114723133,0.050686506897395955,42.90365597705758,764.6196114723133
0,400,0,0,48.96001867743377,0.004615254376607371,50.277074906631356,112.2813087244869
0,192,0,0,51.40001867743377,0.011899199886128288,46.13695337034181,214.65704111511388
0,48,0,0,220.84546782761174,0.055824741191703935,44.10676313793701,820.8454678276117
8,128,0,0,62.76601867743377,0.018739049429462924,46.59378149443455,319.86577684966505
0,176,0,0,51.40001867743377,0.01323479199983865,45.90250625196314,232.98136491522004
16,40,0,0,232.30805696339348,0.05550267628981323,41.226992421586765,832.3080569633935
16,0,0,0,5269.2405104535665,0.41937175330764054,27.91149931637918,5869.2405104535665
