num_a100,num_h100,num_h200,ttff_s,tbf_s,total_time,total_energy_Ws
8,0,0,29324.06458013067,2.152696767073133,29924.06458013067,36123603.27909757
17,0,0,22082.812543406635,1.6312255260239101,22682.812543406635,62553351.02063769
25,0,0,14560.310801725498,1.0784357364664365,15160.310801725498,43544408.08614365
33,0,0,14214.05214955217,1.065746791361521,14814.05214955217,86034574.60187116
41,0,0,10088.354157468468,0.7636049628390245,10688.354157468468,85438858.99458846
49,0,0,10762.069373352366,0.8084571630890793,11362.069373352366,63655095.42099447
57,0,0,9671.360158826701,0.7230932723594058,10271.360158826701,44167789.83358391
65,0,0,8883.6279548165,0.6786983704290013,9483.6279548165,86952258.26402429
73,0,0,9710.192695015188,0.7368622720905732,10310.192695015188,85832582.51537791
81,0,0,9341.634346423405,0.7101094629329948,9941.634346423405,85832582.51537791
97,0,0,5110.782817993371,0.4016283160394204,5710.782817993371,85832582.51537791
113,0,0,8156.455089300034,0.6189110467267697,8756.455089300034,64113533.923203096
129,0,0,4147.826234456821,0.335588281470675,4747.826234456821,113234358.02908692
145,0,0,4768.05804826293,0.38184186083818183,5368.05804826293,129853152.14672618
161,0,0,3986.5992015963984,0.3248660150903203,4586.599201596398,142164947.17152086
177,0,0,2641.3407767062995,0.22585476213620348,3241.3407767062995,113233985.37908694
193,0,0,2603.690324956447,0.22148382158319094,3203.690324956447,87178671.1906751
209,0,0,2767.9568011561,0.23666468077416694,3367.9568011561,142123619.03307372
257,0,0,4457.131780775495,0.36062721751822535,5057.131780775495,172303946.6411841
305,0,0,1569.6959313230604,0.1488984367757741,2169.6959313230604,130311590.64893481
353,0,0,4261.625019344701,0.34460047171471636,4861.625019344701,114726623.00512047
401,0,0,3116.2867686233544,0.2631043482312144,3716.2867686233544,205263744.6430581
513,0,0,1355.317279757844,0.13490688200669507,1955.317279757844,205263552.7430581
625,0,0,1100.738209069635,0.11630162316994232,1700.738209069635,205027088.33531085
673,0,0,736.84760434388,0.08955905139664137,1336.84760434388,204343677.18387812
769,0,0,949.2636611317362,0.10537638732717267,1549.2636611317362,206451142.51313394
865,0,0,377.1319090314205,0.06275063951819854,977.1319090314205,143657193.39755437
961,0,0,1015.6194701501549,0.11022743112670179,1615.619470150155,206451142.51313394
1025,0,0,548.104063100639,0.07521976155755827,1148.104063100639,144231084.36232957
1537,0,0,222.83494164244303,0.052436169925239584,822.834941642443,206451142.51313397
2049,0,0,112.35792586390517,0.044393375471020353,712.3579258639052,206451142.51313397
