num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,total_time,total_energy_Ws
0,64,0,0,54.93001867743377,0.040735009514963894,613.8143492227383,8103776.769829333
16,80,0,0,63.83973684004082,0.02919669147656396,464.41834389849834,8431544.538332224
8,48,0,0,164.6196114723133,0.050686506897395955,764.6196114723133,8356916.214147824
0,192,0,0,51.40001867743377,0.011899199886128288,214.65704111511388,8194328.085985672
16,8,0,0,1999.06129841048,0.18109875812684756,2599.06129841048,11715246.55530699
0,56,0,0,106.07043463711386,0.04745921399123033,706.0704346371139,8116862.362150033
0,176,0,0,51.40001867743377,0.01323479199983865,232.98136491522004,8176107.606559814
8,40,0,0,300.9190003314593,0.06062086468596345,900.9190003314593,8372468.716045437
0,48,0,0,220.84546782761174,0.055824741191703935,820.8454678276117,8096531.408778553
16,0,0,0,5269.2405104535665,0.41937175330764054,5869.2405104535665,15296448.034671964
0,160,0,0,51.40001867743377,0.014851732372629598,255.16578682991187,8160077.306223211
0,40,0,0,402.4868436592619,0.06906390852637231,1002.4868436592619,8137911.40196363
8,32,0,0,500.5532534300123,0.07505407544918777,1100.5532534300123,8396841.903671026
0,144,0,0,51.82001867743377,0.016724507566678037,281.28026249225644,8173357.344658147
0,32,0,0,657.5385874873941,0.08765368577332072,1257.5385874873941,8128848.146715471
8,24,0,0,810.7776247074387,0.09748515207290691,1410.7776247074387,8598617.210556779
0,24,0,0,1133.1797272748922,0.12232140733217628,1733.1797272748922,8199203.147932535
0,128,0,0,54.07001867743377,0.018956838125833923,314.1578377638752,8147434.773427704
0,16,0,0,2196.837875196623,0.19984751140810414,2796.837875196623,8366357.899982681
16,48,0,0,125.94319705789883,0.04796672450567478,725.9431970578988,8524793.55324596
0,304,0,0,49.90001867743377,0.006645218867536232,141.07242154003086,8333923.99587708
8,16,0,0,1415.5988171412541,0.14156832936400132,2015.5988171412541,8749977.591972332
0,112,0,0,54.07001867743377,0.022059363688924444,356.72448848947715,8123304.599533289
8,80,0,0,62.76601867743377,0.03073488515175148,484.44864295946405,8296433.886833859
0,288,0,0,49.90001867743377,0.007149559825624221,147.99197948499807,8312224.346722288
16,40,0,0,232.30805696339348,0.05550267628981323,832.3080569633935,8593490.700131567
0,108,0,0,54.07001867743377,0.023011959592113582,369.79410428123214,8121028.67439408
8,8,0,0,2960.0110157584472,0.2516764343183904,3560.0110157584472,10453782.54539519
0,256,0,0,49.90001867743377,0.008354683014474262,164.52626963602063,8270664.398321554
0,512,0,0,48.54411653676099,0.003351101658658749,94.52123129355903,8819360.429104896
16,32,0,0,408.78782523729376,0.06836563316108876,1008.7878252372938,8692007.17944609
0,96,0,0,54.93001867743377,0.026145968277813153,413.65270344903024,8153912.995959363
8,0,0,0,15202.293066154743,1.1395620931375279,15802.293066154743,15346501.843312941
16,108,0,0,59.63201867743377,0.021981669453335476,361.2205235771965,8416266.390341476
0,240,0,0,49.90001867743377,0.009082750120434267,174.51535032979191,8251061.996052353
8,64,0,0,66.76601867743376,0.03836636552637728,593.15255369933,8291007.078620497
16,24,0,0,658.4638054738318,0.08638356174975773,1258.4638054738318,8934455.324760154
0,80,0,0,54.93001867743377,0.03192365497779449,492.9225649727741,8125423.060374665
0,8,0,0,7329.280385951076,0.5717923230497307,7929.280385951076,9030201.336396879
0,224,0,0,49.90001867743377,0.00991946792438964,185.99511860005964,8232481.413571795
0,72,0,0,54.93001867743377,0.035989162267279814,548.7013249845129,8126775.975658766
8,56,0,0,69.20073684004082,0.04358458228984915,667.1812058567712,8363059.000977404
16,16,0,0,1195.8149064538084,0.1255490938911554,1795.8149064538084,9360623.292610448
0,208,0,0,51.40001867743377,0.01077734486227995,199.26519018791467,8214200.047258599
8,96,0,0,62.76601867743377,0.025417469663905706,411.49370246622004,8322041.728909433
8,72,0,0,56.46373684004082,0.034874530051675214,534.9422891490248,8294738.575313316
16,56,0,0,67.83973684004081,0.041119019012656466,631.9926776936875,8468412.513219519
0,320,0,0,49.90001867743377,0.0061928576294848665,134.86602535396614,8356109.464779948
0,352,0,0,49.90001867743377,0.0054149294312601775,124.1928504743234,8401663.739065733
8,112,0,0,62.76601867743377,0.021599219950596462,359.1073163996172,8354803.991249127
16,64,0,0,63.83973684004082,0.03645237314188765,563.9662963467393,8450953.129667329
8,128,0,0,62.76601867743377,0.018739049429462924,319.86577684966505,8394227.5283539
8,108,0,0,62.76601867743377,0.022477101912033243,371.15185691052983,8349900.469948001
16,72,0,0,63.83973684004082,0.032385563435922894,508.1696671809029,8429388.322030824
0,448,0,0,48.96001867743377,0.003915430715094216,102.67972808852642,8576139.566192437
16,176,0,0,59.63201867743377,0.012947549170561038,237.2723932975312,8509851.232441066
8,192,0,0,62.76601867743377,0.012048760770320677,228.07501644623346,8579058.547643915
16,128,0,0,59.63201867743377,0.018346775376984786,311.34977684966503,8432177.685115725
0,400,0,0,48.96001867743377,0.004615254376607371,112.2813087244869,8488331.864232356
8,144,0,0,62.76601867743377,0.016512909351315327,289.32313497748004,8437481.781502055
8,224,0,0,62.76601867743377,0.010139997380764695,201.8867827415254,8681335.909822261
16,96,0,0,59.63201867743377,0.02489390309442077,401.17636913288675,8416031.076591868
0,384,0,0,49.10001867743377,0.004867560612372792,115.88295027918849,8464934.094301067
0,960,0,0,47.817383611174854,0.001516546759123349,68.6244051463472,10212766.13697816
16,144,0,0,59.63201867743377,0.01615345842808889,281.25746831081335,8453517.734690346
8,160,0,0,62.76601867743377,0.014735540105657243,264.93762892705115,8484359.302774794
