#run_id,gpu,world_size,ulysses,ring,sampling_steps,colors,frames,width,height,txt_enc,img_enc,vae_enc,sched_setup,dit,dit_cond,dit_uncond,sched,vae_dec,output,total_time
0,A100,8,8,1,10,3,81,784,496,0.19,0.04,2.74,0.2,24.73,12.35,12.38,0.75,4.39,0.45,33.55
0,H100,8,8,1,10,3,81,784,496,0.07,0.03,1.60,0.1,13.11,6.55,6.58,0.37,2.24,0.25,17.86
0,H200,8,8,1,10,3,81,784,496,0.06,0.02,1.43,0.1,12.49,6.24,6.25,0.36,2.04,0.24,16.81
0,A100,4,4,1,10,3,81,784,496,0.19,0.04,3.23,0.1,48.20,24.11,24.10,0.75,5.17,0.77,57.67
0,H100,4,4,1,10,3,81,784,496,0.07,0.03,1.58,0.1,25.63,12.81,12.83,0.37,2.24,0.77,30.70
0,H200,4,4,1,10,3,81,784,496,0.19,0.02,1.45,0.1,24.47,12.22,12.25,0.36,2.05,0.77,28.89
0,GB200,4,4,1,10,3,81,784,496,0.07,0.02,1.05,0.1,16.56,8.25,8.31,0.35,1.55,0.35,19.66
0,A100,2,2,1,10,3,81,784,496,0.16,0.04,3.26,0.1,92.78,46.39,46.39,0.79,5.18,0.79,102.26
0,GB200,2,2,1,10,3,81,784,496,0.16,0.05,1.05,0.1,31.0,15.5,15.49,0.35,1.56,0.35,34.18
0,A100,1,1,1,10,3,81,784,496,0.12,0.04,3.15,0.1,160.39,80.18,80.23,0.75,5.15,0.94,169.86
0,H100,1,1,1,10,3,81,784,496,0.07,0.03,1.55,0.1,85.03,42.52,42.64,0.37,2.23,0.32,90.42
0,H200,1,1,1,10,3,81,784,496,0.07,0.02,1.42,0.1,81.01,40.51,40.50,0.36,2.05,0.31,85.11
0,GB200,1,1,1,10,3,81,784,496,0.07,0.03,1.01,0.1,50.52,25.31,25.30,0.35,1.56,0.34,53.65
