#run_id,world_size,sampling_steps,colors,frames,width,height,txt_enc,img_enc,vae_enc,sched_setup,dit,dit_cond,dit_uncond,sched,vae_dec,output,total_time
3,1,10,3,81,1024,640,0.12,0.03,5.3,0,353.9,176.94,176.95,0,8.7,0.95,369.06
3,1,10,3,81,1280,800,0.12,0.03,8.37,0,748.58,374.35,374.19,0,13.69,1.79,772.67
1,1,10,3,1,640,400,0.12,0.03,0.04,0,3.4,1.7,1.7,0,0.06,0.27,3.97
1,1,10,3,5,640,400,0.12,0.03,0.14,0,5.9,2.99,3,0,0.22,0.31,6.79
1,1,10,3,21,640,400,0.12,0.03,0.57,0,18.6,9.3,9.3,0,0.89,0.43,20.64
1,1,10,3,41,640,400,0.12,0.03,1.06,0,37.21,18.6,18.6,0,1.73,0.54,40.77
1,1,10,3,61,640,400,0.12,0.03,1.57,0,60.59,30.3,30.3,0,2.57,0.7,65.63
1,1,10,3,81,640,400,0.12,0.04,2.08,0,87.3,43.65,43.66,0,3.41,0.7,93.73
2,1,10,3,1,640,400,0.12,0.03,0.04,0,3.4,1.7,1.7,0,0.06,0.27,3.96
2,1,10,3,5,640,400,0.12,0.03,0.14,0,5.9,3,2.99,0,0.22,0.3,6.78
2,1,10,3,21,640,400,0.12,0.03,0.55,0,18.59,9.3,9.3,0,0.89,0.43,20.66
2,1,10,3,41,640,400,0.12,0.03,1.06,0,37.25,18.62,18.62,0,1.73,0.54,40.79
2,1,10,3,61,640,400,0.12,0.03,1.57,0,60.61,30.3,30.3,0,2.57,0.69,65.64
2,1,10,3,81,640,400,0.12,0.03,2.08,0,87.29,43.63,43.66,0,3.41,0.69,93.67
3,1,10,3,1,640,400,0.12,0.03,0.04,0,3.4,1.7,1.7,0,0.06,0.27,3.95
3,1,10,3,5,640,400,0.12,0.03,0.14,0,5.9,2.99,2.99,0,0.22,0.31,6.79
3,1,10,3,21,640,400,0.12,0.03,0.55,0,18.6,9.3,9.3,0,0.89,0.44,20.64
3,1,10,3,41,640,400,0.12,0.03,1.06,0,37.28,18.62,18.6,0,1.73,0.55,40.81
3,1,10,3,61,640,400,0.12,0.03,1.57,0,60.6,30.3,30.3,0,2.57,0.71,65.63
3,1,10,3,81,640,400,0.12,0.03,2.08,0,87.19,43.6,43.59,0,3.41,0.72,93.64
0,1,10,3,81,640,400,0.12,0.03,2.08,0,87.23,43.61,43.62,0,3.41,0.71,93.64
0,1,10,3,81,640,400,0.12,0.03,2.08,0,87.29,43.63,43.64,0,3.41,0.71,93.7
0,1,10,3,81,640,400,0.12,0.03,2.08,0,87.3,43.67,43.68,0,3.42,0.71,93.73
0,1,10,3,81,640,400,0.12,0.03,2.08,0,87.26,43.63,43.63,0,3.41,0.71,93.68
0,1,10,3,81,640,400,0.12,0.03,2.08,0,87.29,43.62,43.63,0,3.41,0.73,93.7
0,1,10,3,81,640,400,0.12,0.03,2.08,0,87.29,43.63,43.61,0,3.41,0.71,93.67
1,1,1,3,81,640,400,0.12,0.03,2.08,0,8.73,4.36,4.37,0,3.41,0.77,15.18
1,1,2,3,81,640,400,0.12,0.03,2.08,0,17.44,8.72,8.72,0,3.41,0.74,23.86
1,1,5,3,81,640,400,0.12,0.03,2.08,0,43.63,21.82,21.82,0,3.41,0.74,50.07
1,1,8,3,81,640,400,0.12,0.03,2.08,0,69.82,34.88,34.9,0,3.41,0.73,76.23
1,1,10,3,81,640,400,0.12,0.03,2.08,0,87.36,43.69,43.69,0,3.41,0.72,93.77
1,1,15,3,81,640,400,0.12,0.03,2.08,0,130.95,65.47,65.5,0,3.41,0.73,137.4
1,1,20,3,81,640,400,0.12,0.03,2.07,0,174.78,87.36,87.36,0,3.41,0.73,181.19
1,1,25,3,81,640,400,0.12,0.04,2.08,0,218.27,109.16,109.13,0,3.41,0.73,224.72
1,1,30,3,81,640,400,0.12,0.03,2.08,0,262.23,131.09,131.11,0,3.41,0.75,268.71
2,1,1,3,81,640,400,0.12,0.03,2.08,0,8.73,4.36,4.37,0,3.41,0.77,15.19
2,1,2,3,81,640,400,0.12,0.03,2.08,0,17.46,8.74,8.73,0,3.41,0.73,23.87
2,1,5,3,81,640,400,0.12,0.03,2.08,0,43.65,21.83,21.84,0,3.41,0.73,50.07
2,1,8,3,81,640,400,0.12,0.03,2.08,0,69.89,34.93,34.95,0,3.41,0.71,76.29
2,1,10,3,81,640,400,0.12,0.03,2.08,0,87.36,43.68,43.68,0,3.41,0.72,93.76
2,1,15,3,81,640,400,0.12,0.03,2.08,0,131.02,65.49,65.51,0,3.41,0.74,137.45
2,1,20,3,81,640,400,0.12,0.03,2.08,0,174.64,87.33,87.35,0,3.41,0.72,181.07
2,1,25,3,81,640,400,0.12,0.03,2.08,0,218.43,109.22,109.2,0,3.41,0.72,224.85
2,1,30,3,81,640,400,0.12,0.03,2.08,0,261.88,130.96,130.95,0,3.41,0.73,268.34
3,1,1,3,81,640,400,0.12,0.03,2.08,0,8.72,4.36,4.36,0,3.41,0.75,15.16
3,1,2,3,81,640,400,0.12,0.03,2.08,0,17.43,8.72,8.72,0,3.41,0.72,23.82
3,1,5,3,81,640,400,0.12,0.03,2.08,0,43.59,21.8,21.8,0,3.41,0.72,49.99
3,1,8,3,81,640,400,0.12,0.03,2.08,0,69.9,34.96,34.96,0,3.41,0.7,76.28
3,1,10,3,81,640,400,0.12,0.03,2.08,0,87.22,43.6,43.6,0,3.41,0.7,93.59
3,1,15,3,81,640,400,0.12,0.03,2.08,0,131.01,65.49,65.48,0,3.41,0.7,137.4
3,1,20,3,81,640,400,0.12,0.04,2.08,0,174.83,87.4,87.4,0,3.41,0.71,181.24
3,1,25,3,81,640,400,0.12,0.03,2.08,0,218.37,109.16,109.21,0,3.41,0.7,224.75
3,1,30,3,81,640,400,0.12,0.03,2.07,0,262,131.03,131.05,0,3.41,0.7,268.41
1,1,10,3,81,256,160,0.12,0.03,0.4,0,10,5,5,0,0.62,0.42,11.64
1,1,10,3,81,320,200,0.12,0.03,0.59,0,1.6,0.8,0.81,-1,0,0,2.37
1,1,10,3,81,512,320,0.12,0.03,1.36,0,48.23,24.1,24.11,0,2.21,0.56,52.57
1,1,10,3,81,640,400,0.12,0.03,2.08,0,87.4,43.7,43.7,0,3.41,0.69,93.77
1,1,10,3,81,768,480,0.12,0.03,2.97,0,146.28,73.13,73.15,0,4.89,0.86,155.19
1,1,10,3,81,1024,640,0.12,0.03,5.3,0,353.84,176.9,176.91,0,8.7,1.25,369.29
1,1,10,3,81,1280,800,0.12,0.03,8.38,0,749.49,374.69,374.78,0,13.7,1.85,773.63
2,1,10,3,81,256,160,0.12,0.03,0.4,0,10,5,5,0,0.62,0.41,11.63
2,1,10,3,81,320,200,0.12,0.03,0.58,0,1.61,0.8,0.81,-1,0,0,2.37
2,1,10,3,81,512,320,0.12,0.03,1.36,0,48.24,24.1,24.1,0,2.22,0.55,52.55
2,1,10,3,81,640,400,0.12,0.03,2.08,0,87.33,43.7,43.68,0,3.42,0.7,93.73
2,1,10,3,81,768,480,0.12,0.03,2.97,0,146.31,73.15,73.16,0,4.88,0.9,155.26
2,1,10,3,81,1024,640,0.12,0.03,5.3,0,354.02,177.01,176.99,0,8.71,1.25,369.48
2,1,10,3,81,1280,800,0.12,0.03,8.37,0,749.1,374.56,374.53,0,13.69,1.75,773.13
3,1,10,3,81,256,160,0.12,0.03,0.4,0,10,5,5,0,0.62,0.41,11.64
3,1,10,3,81,320,200,0.12,0.03,0.58,0,1.61,0.8,0.81,-1,0,0,2.37
3,1,10,3,81,512,320,0.12,0.03,1.36,0,48.23,24.1,24.1,0,2.21,0.55,52.55
3,1,10,3,81,640,400,0.12,0.03,2.08,0,87.4,43.7,43.7,0,3.41,0.7,93.8
3,1,10,3,81,768,480,0.12,0.03,2.97,0,146.21,73.11,73.1,0,4.88,0.89,155.16
3,1,10,3,81,1024,640,0.12,0.03,5.3,0,353.9,176.94,176.96,0,8.7,1.25,369.37
3,1,10,3,81,1280,800,0.12,0.03,8.38,0,749.25,374.57,374.65,0,13.69,1.78,773.3
1,1,10,3,1,640,400,0.12,0.03,0.04,0,3.4,1.7,1.7,0,0.06,0.26,3.94
1,1,10,3,5,640,400,0.12,0.03,0.14,0,5.9,2.97,3,0,0.22,0.3,6.76
1,1,10,3,21,640,400,0.12,0.03,0.55,0,18.6,9.3,9.3,0,0.89,0.42,20.64
1,1,10,3,41,640,400,0.12,0.03,1.06,0,37.2,18.6,18.6,0,1.73,0.54,40.76
1,1,10,3,61,640,400,0.12,0.03,1.57,0,60.61,30.3,30.3,0,2.57,0.7,65.67
1,1,10,3,81,640,400,0.12,0.03,2.08,0,87.41,43.7,43.72,0,3.41,0.7,93.82
2,1,10,3,1,640,400,0.12,0.03,0.04,0,3.4,1.7,1.7,0,0.06,0.27,3.95
2,1,10,3,5,640,400,0.12,0.03,0.14,0,5.9,3,3,0,0.22,0.3,6.78
2,1,10,3,21,640,400,0.12,0.03,0.55,0,18.6,9.3,9.3,0,0.89,0.43,20.66
2,1,10,3,41,640,400,0.12,0.03,1.06,0,37.21,18.6,18.6,0,1.73,0.54,40.77
2,1,10,3,61,640,400,0.12,0.03,1.57,0,60.6,30.3,30.3,0,2.57,0.7,65.66
2,1,10,3,81,640,400,0.12,0.03,2.08,0,87.4,43.69,43.7,0,3.41,0.71,93.79
3,1,10,3,1,640,400,0.12,0.03,0.04,0,3.4,1.7,1.7,0,0.06,0.27,3.94
