num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time,energy
8,0,0,0,15202.29,1.15,37.57,15802.29,16039391.49
16,0,0,0,4708.42,0.38,25.24,5308.42,13342954.47
24,0,0,0,2764.03,0.24,24.00,3364.03,13070081.73
32,0,0,0,1823.66,0.18,23.05,2423.66,14104996.86
32,0,0,0,1823.66,0.18,23.05,2423.66,12863417.08
48,0,0,0,1110.33,0.12,24.40,1710.33,23091052.34
64,0,0,0,746.23,0.10,25.61,1346.23,25286494.67
96,0,0,0,463.88,0.08,30.36,1063.88,77958563.06
128,0,0,0,291.13,0.06,33.90,891.13,114128779.24
128,0,0,0,284.75,0.06,33.66,884.75,96264197.51
192,0,0,0,77.60,0.05,38.67,677.60,181752505.04
248,0,0,0,28.25,0.04,45.58,618.31,407216617.24
256,0,0,0,27.55,0.04,46.99,617.51,407104677.14
0,8,0,0,7329.28,0.57,71.01,7929.28,9502225.97
0,16,0,0,2040.26,0.19,47.29,2640.26,8049985.01
0,32,0,0,604.18,0.09,43.14,1204.18,8481600.31
0,64,0,0,44.02,0.05,46.14,644.02,16074686.08
0,96,0,0,21.04,0.04,61.46,571.94,103253815.26
0,16,0,0,2040.26,0.19,47.29,2640.26,7807016.69
0,24,0,0,1072.45,0.12,44.93,1672.45,8513282.91
0,32,0,0,604.18,0.09,43.14,1204.18,7822582.05
0,48,0,0,213.24,0.06,43.70,813.24,14327181.90
0,64,0,0,44.00,0.05,46.14,644.00,17196018.62
0,96,0,0,21.04,0.04,61.46,571.94,97910901.30
0,128,0,0,18.17,0.04,74.19,517.75,260591914.16
0,192,0,0,17.74,0.03,88.04,409.61,264789555.79
0,256,0,0,17.60,0.02,97.60,340.57,272468554.76
0,0,8,0,6881.34,0.54,70.16,7481.34,10084743.99
0,0,16,0,1892.49,0.18,46.75,2492.49,8775434.44
0,0,32,0,536.62,0.08,42.64,1136.62,9827304.17
0,0,64,0,31.81,0.05,47.27,630.06,27797964.48
0,0,96,0,19.75,0.04,60.74,539.77,117302309.33
0,0,8,0,6881.34,0.54,70.16,7481.34,10084743.99
0,0,16,0,1892.49,0.18,46.75,2492.49,8775434.44
0,0,24,0,978.49,0.11,44.41,1578.49,9365932.83
