num_a100,num_h100,ttff_s,tbf_s,cost,quality
0,8,5.637653152275616,0.03926989719856927,4.8755893114401845,low
0,16,5.385653152275617,0.012970296213375605,3.2837893880673303,low
0,32,4.329281169181412,0.005971403238390163,3.089915043622886,low
0,40,4.317281169181412,0.0046897428667263515,3.0744669977965318,low
0,64,3.8530951776343088,0.0028439787091006003,3.071575231252854,low
0,80,3.8418579793248884,0.00224298397357544,3.1000191184449584,low
0,96,3.834366513785275,0.0018565187603645844,3.149397059763443,low
0,108,3.8290154669712653,0.001646675163188997,3.1943471035462485,low
0,128,3.824162181860758,0.0013878087696276974,3.2762859007874012,low
0,160,3.5387585827060475,0.0011190663943980584,3.3838297129246695,low
0,256,3.4363663982596964,0.0007027150405551576,3.747754348184614,low
0,512,3.3040997832132004,0.00039073692273387654,4.966398828569829,low
0,768,3.219620799354674,0.00030449321032489815,6.359677570005221,low
0,1024,3.1979509957930072,0.00028417140725393506,8.135120865953422,low
0,1536,2.867277225541724,0.00027476529699316775,11.412198448708514,low
8,0,554.5900926139216,0.08315828966768825,2.745358664659769,low
9,8,7.340611485608951,0.01928926219044176,3.1633865331888162,low
9,16,7.309658317564874,0.009579698109051047,2.856181209571739,low
9,32,6.117931273783922,0.005252776104744884,3.0099445647017156,low
9,40,6.1006469198277635,0.004239819354166095,3.0498359838468554,low
8,64,5.824025720251915,0.002818578855143707,3.293613419518119,low
8,80,5.810781952318704,0.0023280936110964354,3.4706880041972483,low
8,96,5.805224567646526,0.001992830139321169,3.640997771403428,low
8,108,5.801077369327281,0.0018102264786761819,3.776908697408912,low
8,128,5.797171641601491,0.0015771245556881618,3.9964116928153404,low
8,160,5.791466609468073,0.0013307416600350011,4.364670242802358,low
8,256,5.783179848097652,0.000962456572090186,5.486712366118368,low
8,512,5.701797425868931,0.0006871315110129987,8.707382939193232,low
8,768,5.645513534752066,0.0006063841261101316,12.039471106369295,low
8,1024,5.613454059828887,0.000584096340949121,15.653477389729535,low
8,1536,5.293561588297194,0.0005723353370912756,22.63537122180359,low
16,0,13.175858373238816,0.027249579885576462,1.8405906711625877,low
17,8,6.188604209574389,0.017790609431503335,3.505946349917284,low
17,16,6.155021063428736,0.008640753180301929,2.8637382802264284,low
17,32,5.483358690464975,0.004935341845328005,2.9918966700419283,low
17,40,5.468982966112423,0.00395874296479432,2.979016935701668,low
17,64,5.200148808686062,0.002617390923343752,3.153080503108909,low
16,80,5.189160781085139,0.002151091900465424,3.27279753746262,low
16,96,5.182951051929482,0.0018291342249280944,3.3979399271247077,low
16,108,5.023914361347938,0.001663536911004348,3.499210773163609,low
16,128,5.0202505927187,0.0014334594767232605,3.654819776760368,low
16,160,5.0148104382222005,0.0011903875515315784,3.92498842970396,low
16,256,5.006801188486813,0.0008255713590246773,4.758533854927635,low
16,512,4.925525474585748,0.0005515801520431654,7.219962075711803,low
16,768,4.869255966114619,0.00047101255021202024,9.795997473927237,low
16,1024,4.837198674940426,0.0004487520619133367,12.654915524478803,low
16,1536,4.517309169121255,0.00043702812946201127,18.12732601829632,low
32,0,10.292266030896473,0.012568556389998358,1.737992532273699,low
33,8,6.13058160938189,0.01665685203730247,4.403182794432543,low
33,16,5.510812557420312,0.00786421379236925,3.143601926515836,low
33,32,5.216130102309437,0.004574278504566237,3.1017475629869677,low
33,40,5.206775368341327,0.0036256198035148086,2.9995220390415698,low
33,64,5.191534463348595,0.002452719541258083,3.1638577498744294,low
32,80,5.183652967971714,0.002027351553869867,3.2690926401720337,low
32,96,5.0239671736020455,0.001743016551239351,3.385120977928304,low
32,108,5.020911100933138,0.0015859362754360262,3.492403921784525,low
32,128,5.01706116284071,0.0013782012551616847,3.6558901082230992,low
