num_a100,num_h100,num_h200,ttff_s,tbf_s,cost,num_a100_config,num_h100_config,num_h200_config
0,8,0,7957.670283466337,0.6195676263141348,76.63869164970966,0,8,0
0,16,0,2180.3498751966226,0.1987740105510359,49.799155542410624,0,16,0
0,32,0,648.2718939920137,0.08733552443769031,44.71587318033614,0,32,0
0,40,0,374.3753299544819,0.06739724114364055,43.630361996850695,0,40,0
0,64,0,49.129522842148944,0.03984439851877379,42.68537817234655,0,64,0
0,80,0,48.94972766919822,0.03105773959874373,42.54443371788373,0,80,0
0,96,0,48.8298642205644,0.025306344284975947,42.56033649269468,0,96,0
0,108,0,47.88424747154024,0.022190436956302323,42.597548439701775,0,108,0
0,128,0,47.80659490977213,0.018197459224645485,42.62496760717476,0,128,0
0,160,0,45.471466355554824,0.014046993381264024,42.66358882899484,0,160,0
0,256,0,43.41523306321969,0.007746574328634069,42.90018690800917,0,256,0
0,512,0,41.305596531411204,0.002880350983117081,46.32473151142451,0,512,0
0,768,0,39.81393278967478,0.0015111041931867083,52.053657120083535,0,768,0
0,1024,0,39.46721593268812,0.0011859553440512992,63.893688521921405,0,1024,0
0,1536,0,34.17643560866758,0.0010354575798790227,83.19280717933624,0,1536,0
9,8,0,3546.2514861834234,0.2978005598329667,48.223208257361094,8,8,0
8,16,0,1425.4543209034262,0.14332275682165374,41.09421766632952,8,16,0
8,32,0,483.1958750965907,0.0747057145287132,41.37808242868977,8,32,0
8,40,0,290.7303697662163,0.06069078440506587,42.00288543653136,8,40,0
8,64,0,55.37339525862672,0.03992722118611005,44.64834426097068,8,64,0
8,80,0,51.15891975953417,0.03205299344493897,45.13246266449531,8,80,0
8,96,0,51.101044161448044,0.02721163015213886,46.62288236627966,8,96,0
8,108,0,51.057058706902595,0.024538699050668765,47.79824741580729,8,108,0
8,128,0,51.00329870690259,0.021241100979700167,49.88081207094864,8,128,0
8,160,0,50.94670923321838,0.01770500985249546,53.3322240553784,8,160,0
8,256,0,50.848076171691325,0.012543494538631503,64.42114468013393,8,256,0
8,512,0,48.71545154307929,0.008918410317658314,98.45996418853109,8,512,0
8,768,0,48.685402379501205,0.007692110580421054,132.95577521035455,8,768,0
8,1024,0,43.58032713003342,0.007813939676030232,173.2080171370629,8,1024,0
8,1536,0,43.06134767814213,0.007298828165749656,246.57031138012704,8,1536,0
17,8,0,3165.406035380812,0.2701564499456576,52.747062878959554,16,8,0
16,16,0,1276.54397607584,0.13253215212400257,42.53499679105237,16,16,0
16,32,0,420.5714150909678,0.07034604122557103,41.41252008791349,16,32,0
16,40,0,242.3088297399122,0.05765016327433809,41.72236403311699,16,40,0
16,64,0,50.09605816109362,0.03768572612583836,43.32981845442034,16,64,0
16,80,0,49.987108058335465,0.03113056583884737,44.99568694406472,16,80,0
16,96,0,49.94220482935157,0.026451357159825054,46.331485923641424,16,96,0
16,108,0,49.906562125084406,0.023882710436833623,47.44469159380285,16,108,0
16,128,0,47.368605289974695,0.020782651926993547,49.22575335044687,16,128,0
16,160,0,46.706709233218376,0.017294951543457563,52.216927978752,16,160,0
16,256,0,46.60807617169132,0.012133436229593599,62.07696325508645,16,256,0
16,512,0,44.47545154307929,0.008508352008620412,93.16507397514985,16,512,0
16,768,0,44.4454023795012,0.007282052271383153,124.79343147860094,16,768,0
16,1024,0,39.340327130033415,0.007403881366992331,162.21013275939427,16,1024,0
16,1536,0,38.821347678142125,0.006888769856711756,229.899635733505,16,1536,0
33,8,0,2934.782878804312,0.25358484469961035,66.32627318423093,32,8,0
32,16,0,1186.054162357784,0.1264431053634377,48.97757414110012,32,16,0
32,32,0,368.38910739866014,0.06693413613864375,43.9003062020726,32,32,0
32,40,0,199.6763832158481,0.0546404220401821,43.41354231547371,32,40,0
32,64,0,47.44490199908366,0.03579627410071383,43.70792991727832,32,64,0
32,80,0,45.216165373569254,0.030358505311339667,45.74253329015282,32,80,0
32,96,0,45.07088758618247,0.024418251794444554,44.46200192915961,32,96,0
32,108,0,45.03524488191531,0.021849605071453122,44.96729341319393,32,108,0
32,128,0,44.9909839328693,0.018670745137409326,46.01627118292954,32,128,0
32,160,0,44.94240727018511,0.015234814147704886,47.90326486696438,32,160,0
32,256,0,44.85301456906865,0.010188803338973446,54.67085807476103,32,256,0
