num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time,energy
24,8,0,0,1644.39,0.16,36.11,2244.39,0.0
0,40,0,0,500.85,0.08,49.29,1100.85,0.0
8,8,0,0,2925.28,0.25,39.95,3525.28,0.0
8,24,0,0,869.15,0.1,42.96,1469.15,0.0
16,24,0,0,653.25,0.09,39.63,1253.25,0.0
0,8,0,0,7298.84,0.57,70.74,7898.84,0.0
0,24,0,0,1440.77,0.15,54.83,2040.77,0.0
8,32,0,0,518.55,0.08,42.73,1118.55,0.0
16,8,0,0,2339.09,0.21,40.3,2939.09,0.0
16,0,0,0,5549.67,0.44,29.25,6149.67,0.0
0,32,0,0,654.11,0.09,44.92,1254.11,0.0
8,0,0,0,15142.42,1.14,37.43,15742.42,0.0
16,16,0,0,1070.44,0.12,37.86,1670.44,0.0
0,16,0,0,2296.73,0.21,51.88,2896.73,0.0
8,16,0,0,1358.81,0.14,39.74,1958.81,0.0
24,16,0,0,885.3,0.1,37.2,1485.3,0.0
0,48,0,0,269.0,0.06,46.69,869.0,0.0
24,0,0,0,3143.19,0.26,26.7,3743.19,0.0
24,24,0,0,541.56,0.08,38.81,1141.56,0.0
0,56,0,0,139.46,0.05,46.36,739.46,0.0
16,32,0,0,412.27,0.07,41.08,1012.27,0.0
8,40,0,0,317.69,0.06,43.27,917.69,0.0
8,48,0,0,226.59,0.06,46.38,826.59,0.0
16,40,0,0,329.41,0.06,46.04,929.41,0.0
24,32,0,0,357.86,0.07,41.15,957.86,0.0
8,56,0,0,102.14,0.05,45.69,702.14,0.0
0,64,0,0,63.12,0.04,47.51,663.12,0.0
8,64,0,0,112.18,0.05,52.72,712.18,0.0
0,80,0,0,88.8,0.05,61.69,688.8,0.0
32,8,0,0,1241.83,0.13,34.01,1841.83,0.0
24,40,0,0,215.1,0.06,42.31,815.1,0.0
0,144,0,0,31.94,0.04,101.27,628.23,0.0
32,0,0,0,2195.25,0.2,26.59,2795.25,0.0
0,72,0,0,43.37,0.04,51.12,634.29,0.0
8,72,0,0,97.77,0.05,57.9,697.77,0.0
16,48,0,0,150.72,0.05,43.91,750.72,0.0
0,160,0,0,31.52,0.04,93.02,519.32,0.0
16,64,0,0,128.15,0.05,55.63,728.15,0.0
32,16,0,0,776.81,0.1,37.76,1376.81,0.0
24,48,0,0,98.0,0.05,42.49,698.0,0.0
8,80,0,0,51.48,0.04,59.89,651.48,0.0
0,128,0,0,47.5,0.04,92.78,647.5,0.0
0,96,0,0,25.48,0.04,60.68,564.63,0.0
0,88,0,0,28.41,0.04,58.57,594.56,0.0
32,24,0,0,454.81,0.07,38.37,1054.81,0.0
8,88,0,0,34.8,0.04,59.6,590.72,0.0
24,56,0,0,54.3,0.04,45.14,646.49,0.0
24,64,0,0,74.56,0.05,53.14,674.56,0.0
16,56,0,0,50.71,0.04,43.36,642.95,0.0
