num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time,energy
0,8,0,0,7298.84,0.57,70.74,7898.84,0.0
8,8,0,0,2925.28,0.25,39.95,3525.28,0.0
8,0,0,0,15142.42,1.14,37.43,15742.42,0.0
8,16,0,0,1358.81,0.14,39.74,1958.81,0.0
0,16,0,0,2296.73,0.21,51.88,2896.73,0.0
16,0,0,0,5549.67,0.44,29.25,6149.67,0.0
0,24,0,0,1170.7,0.13,47.57,1770.7,0.0
8,24,0,0,837.28,0.1,42.03,1437.28,0.0
24,8,0,0,1424.41,0.14,32.57,2024.41,0.0
16,16,0,0,1070.44,0.12,37.86,1670.44,0.0
24,16,0,0,885.3,0.1,37.2,1485.3,0.0
0,32,0,0,732.69,0.09,47.74,1332.69,0.0
0,40,0,0,419.28,0.07,45.64,1019.28,0.0
24,0,0,0,3143.19,0.26,26.7,3743.19,0.0
16,8,0,0,1941.41,0.18,34.85,2541.41,0.0
8,32,0,0,499.54,0.08,42.0,1099.54,0.0
24,24,0,0,524.96,0.08,38.25,1124.96,0.0
16,24,0,0,653.25,0.09,39.63,1253.25,0.0
0,48,0,0,227.81,0.06,44.48,827.81,0.0
16,32,0,0,408.87,0.07,40.94,1008.87,0.0
0,56,0,0,98.74,0.05,43.8,698.74,0.0
8,40,0,0,298.57,0.06,42.37,898.57,0.0
16,40,0,0,232.4,0.06,41.23,832.4,0.0
24,32,0,0,324.02,0.06,39.69,924.02,0.0
8,48,0,0,165.03,0.05,42.93,765.03,0.0
0,64,0,0,50.91,0.04,43.98,613.8,0.0
24,40,0,0,191.69,0.05,41.1,791.69,0.0
32,0,0,0,2195.25,0.2,26.59,2795.25,0.0
0,72,0,0,48.89,0.04,44.62,553.6,0.0
8,56,0,0,72.88,0.04,43.78,672.88,0.0
24,48,0,0,100.92,0.05,42.66,700.92,0.0
32,16,0,0,776.81,0.1,37.76,1376.81,0.0
16,48,0,0,112.98,0.05,41.7,712.98,0.0
32,8,0,0,1133.64,0.12,32.01,1733.64,0.0
0,80,0,0,48.89,0.03,44.18,493.28,0.0
8,64,0,0,56.73,0.04,43.69,590.17,0.0
32,24,0,0,454.81,0.07,38.37,1054.81,0.0
24,56,0,0,59.09,0.04,42.51,608.9,0.0
0,88,0,0,48.89,0.03,44.35,450.17,0.0
16,56,0,0,56.62,0.04,42.39,628.52,0.0
16,64,0,0,54.71,0.04,43.6,570.69,0.0
8,72,0,0,56.73,0.03,44.18,532.47,0.0
32,32,0,0,253.86,0.06,38.71,853.86,0.0
24,64,0,0,59.09,0.04,43.28,549.43,0.0
0,96,0,0,48.89,0.03,44.28,412.03,0.0
16,72,0,0,54.71,0.03,43.7,512.03,0.0
8,80,0,0,56.73,0.03,44.77,487.02,0.0
0,112,0,0,48.03,0.02,44.84,357.67,0.0
24,72,0,0,59.09,0.03,44.17,503.47,0.0
32,40,0,0,133.35,0.05,39.81,733.35,0.0
0,104,0,0,48.03,0.02,44.41,381.45,0.0
8,88,0,0,54.71,0.03,45.52,451.23,0.0
24,80,0,0,57.18,0.03,45.27,468.16,0.0
32,48,0,0,59.09,0.04,40.78,644.8,0.0
40,0,0,0,1567.96,0.15,25.77,2167.96,0.0
16,80,0,0,50.71,0.03,43.86,465.07,0.0
8,96,0,0,54.71,0.03,45.73,416.32,0.0
0,128,0,0,48.03,0.02,45.54,317.8,0.0
24,88,0,0,57.18,0.03,45.79,433.4,0.0
