num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time,energy
16,0,0,0,4636.43,0.37,24.9,5236.43,0.0
8,16,0,0,1280.09,0.13,38.14,1880.09,0.0
8,0,0,0,15142.42,1.14,37.43,15742.42,0.0
8,8,0,0,2727.92,0.24,37.72,3327.92,0.0
16,8,0,0,1884.91,0.17,34.07,2484.91,0.0
0,16,0,0,2003.84,0.18,46.64,2603.84,0.0
0,8,0,0,7298.84,0.57,70.74,7898.84,0.0
0,24,0,0,1031.08,0.11,43.82,1631.08,0.0
0,32,0,0,575.85,0.08,42.12,1175.85,0.0
24,0,0,0,2692.48,0.23,23.49,3292.48,0.0
24,8,0,0,1400.75,0.14,32.19,2000.75,0.0
8,24,0,0,727.9,0.09,38.83,1327.9,0.0
16,16,0,0,1002.02,0.11,36.31,1602.02,0.0
0,40,0,0,331.37,0.06,41.7,931.37,0.0
8,32,0,0,457.45,0.07,40.39,1057.45,0.0
16,24,0,0,607.13,0.08,38.17,1207.13,0.0
24,16,0,0,786.17,0.09,34.72,1386.17,0.0
0,48,0,0,169.95,0.05,41.37,769.95,0.0
24,24,0,0,473.46,0.07,36.5,1073.46,0.0
0,56,0,0,84.3,0.04,41.3,658.79,0.0
8,40,0,0,252.99,0.06,40.22,852.99,0.0
16,32,0,0,360.2,0.06,38.96,960.2,0.0
24,32,0,0,277.01,0.06,37.67,877.01,0.0
32,0,0,0,1770.62,0.16,22.55,2370.62,0.0
8,48,0,0,138.01,0.05,41.41,738.01,0.0
32,8,0,0,1041.9,0.11,30.32,1641.9,0.0
16,40,0,0,208.34,0.05,40.04,808.34,0.0
24,40,0,0,156.24,0.05,39.26,756.24,0.0
0,64,0,0,84.3,0.04,41.28,576.16,0.0
0,72,0,0,84.3,0.03,41.34,512.86,0.0
8,56,0,0,92.59,0.04,41.61,639.55,0.0
32,16,0,0,606.95,0.08,33.1,1206.95,0.0
16,48,0,0,99.32,0.04,40.9,699.32,0.0
24,48,0,0,92.59,0.04,39.9,655.51,0.0
0,80,0,0,84.3,0.03,41.57,464.21,0.0
8,64,0,0,92.59,0.04,42.55,574.79,0.0
32,24,0,0,369.98,0.06,35.29,969.98,0.0
0,88,0,0,83.44,0.03,42.4,430.4,0.0
8,72,0,0,92.59,0.03,43.24,521.16,0.0
16,56,0,0,92.59,0.04,43.08,638.76,0.0
32,32,0,0,206.8,0.05,36.57,806.8,0.0
24,56,0,0,92.59,0.04,41.87,599.6,0.0
16,64,0,0,92.59,0.04,46.41,607.46,0.0
