num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time,energy
72,128,0,0,221.01,0.05,135.21,821.01,0.0
72,192,0,0,605.02,0.08,284.79,1205.02,0.0
72,256,0,0,103.15,0.04,216.55,703.15,0.0
72,480,0,0,65.97,0.03,259.83,465.03,0.0
72,512,0,0,65.97,0.03,262.24,441.07,0.0
72,558,0,0,65.59,0.03,277.82,428.55,0.0
72,1024,0,0,66.21,0.03,507.93,434.98,0.0
72,1141,0,0,65.97,0.02,529.88,406.96,0.0
72,1141,0,0,65.97,0.02,529.88,406.96,0.0
96,0,0,0,3867.03,0.31,127.46,4467.03,0.0
96,8,0,0,3470.23,0.29,152.59,4070.23,0.0
96,16,0,0,1401.76,0.13,92.97,2001.76,0.0
96,32,0,0,931.58,0.1,98.57,1531.58,0.0
96,48,0,0,701.8,0.08,107.09,1301.8,0.0
96,64,0,0,518.37,0.07,112.04,1118.37,0.0
96,72,0,0,428.04,0.06,112.19,1028.04,0.0
96,96,0,0,263.85,0.05,117.48,863.85,0.0
96,128,0,0,215.0,0.05,140.04,815.0,0.0
96,192,0,0,196.19,0.05,193.85,796.19,0.0
96,256,0,0,88.85,0.04,208.21,660.76,0.0
96,480,0,0,63.03,0.03,243.49,430.29,0.0
96,512,0,0,63.03,0.03,248.76,413.43,0.0
96,526,0,0,63.03,0.03,255.08,411.68,0.0
96,1024,0,0,63.28,0.03,528.8,450.1,0.0
96,1105,0,0,62.66,0.02,511.86,401.98,0.0
96,1105,0,0,62.66,0.02,511.86,401.98,0.0
128,0,0,0,2147.99,0.19,104.55,2747.99,0.0
128,8,0,0,1865.4,0.17,115.87,2465.4,0.0
128,16,0,0,1145.66,0.12,97.68,1745.66,0.0
128,32,0,0,837.37,0.09,106.17,1437.37,0.0
128,48,0,0,602.72,0.08,110.38,1202.72,0.0
128,64,0,0,384.8,0.06,108.02,984.8,0.0
128,72,0,0,383.54,0.06,116.69,983.54,0.0
128,96,0,0,634.87,0.08,179.69,1234.87,0.0
128,128,0,0,376.97,0.06,177.16,976.97,0.0
128,192,0,0,161.36,0.05,192.61,761.36,0.0
128,256,0,0,88.85,0.04,212.25,653.84,0.0
128,480,0,0,63.03,0.03,239.19,415.7,0.0
128,510,0,0,63.03,0.03,248.44,406.48,0.0
128,510,0,0,63.03,0.03,248.44,406.48,0.0
128,1024,0,0,62.59,0.03,490.3,413.98,0.0
128,1054,0,0,62.59,0.02,491.24,402.6,0.0
128,1054,0,0,62.59,0.02,491.24,402.6,0.0
192,0,0,0,1422.42,0.14,115.41,2022.42,0.0
192,8,0,0,1088.88,0.11,111.5,1688.88,0.0
192,16,0,0,709.45,0.08,98.18,1309.45,0.0
192,32,0,0,616.96,0.08,113.04,1216.96,0.0
192,48,0,0,484.42,0.07,120.15,1084.42,0.0
192,64,0,0,339.37,0.06,120.91,939.37,0.0
192,72,0,0,299.4,0.05,123.82,899.4,0.0
192,96,0,0,632.78,0.08,202.83,1232.78,0.0
192,128,0,0,143.44,0.05,148.95,743.44,0.0
192,192,0,0,150.87,0.05,204.24,750.87,0.0
192,256,0,0,93.37,0.04,238.27,693.37,0.0
192,480,0,0,106.56,0.05,419.98,706.56,0.0
192,512,0,0,63.73,0.03,329.62,523.02,0.0
192,768,0,0,63.03,0.02,331.88,361.99,0.0
192,924,0,0,63.03,0.02,350.49,319.82,0.0
192,924,0,0,63.03,0.02,350.49,319.82,0.0
192,924,0,0,63.03,0.02,350.49,319.82,0.0
256,0,0,0,899.72,0.1,114.11,1499.72,0.0
256,8,0,0,761.52,0.09,115.79,1361.52,0.0
256,16,0,0,638.07,0.08,116.38,1238.07,0.0
256,32,0,0,476.95,0.07,120.52,1076.95,0.0
256,48,0,0,804.62,0.09,182.35,1404.62,0.0
256,64,0,0,280.9,0.05,130.14,880.9,0.0
256,72,0,0,230.86,0.05,130.19,830.86,0.0
256,96,0,0,652.72,0.08,229.94,1252.72,0.0
256,128,0,0,116.51,0.05,157.19,716.51,0.0
256,192,0,0,105.41,0.04,205.29,705.41,0.0
256,256,0,0,106.75,0.05,256.31,706.75,0.0
256,480,0,0,64.89,0.02,232.28,378.67,0.0
256,504,0,0,64.89,0.02,242.46,378.67,0.0
256,504,0,0,64.89,0.02,242.46,378.67,0.0
256,504,0,0,64.89,0.02,242.46,378.67,0.0
256,504,0,0,64.89,0.02,242.46,378.67,0.0
256,504,0,0,64.89,0.02,242.46,378.67,0.0
480,0,0,0,409.44,0.06,144.01,1009.44,0.0
480,8,0,0,448.95,0.07,159.04,1048.95,0.0
480,16,0,0,313.77,0.06,146.73,913.77,0.0
480,32,0,0,229.74,0.05,148.1,829.74,0.0
480,48,0,0,154.79,0.04,148.24,754.79,0.0
480,64,0,0,127.52,0.05,155.91,727.52,0.0
480,72,0,0,109.58,0.04,157.33,704.69,0.0
480,96,0,0,71.9,0.04,166.46,665.47,0.0
480,128,0,0,154.45,0.05,215.74,754.45,0.0
480,192,0,0,67.92,0.04,220.49,616.58,0.0
480,256,0,0,63.73,0.03,216.18,503.63,0.0
480,448,0,0,63.03,0.02,231.33,359.1,0.0
480,448,0,0,63.03,0.02,231.33,359.1,0.0
480,448,0,0,63.03,0.02,231.33,359.1,0.0
480,448,0,0,63.03,0.02,231.33,359.1,0.0
480,448,0,0,63.03,0.02,231.33,359.1,0.0
480,448,0,0,63.03,0.02,231.33,359.1,0.0
512,0,0,0,739.09,0.09,203.78,1339.09,0.0
512,8,0,0,320.3,0.06,148.29,920.3,0.0
512,16,0,0,350.14,0.06,161.61,950.14,0.0
512,32,0,0,209.78,0.05,152.24,809.78,0.0
512,48,0,0,139.76,0.05,152.32,739.76,0.0
512,64,0,0,109.58,0.04,155.63,695.33,0.0
512,72,0,0,109.58,0.04,157.54,676.77,0.0
512,96,0,0,80.27,0.04,171.12,659.04,0.0
512,128,0,0,143.41,0.05,219.65,743.41,0.0
512,192,0,0,67.92,0.04,215.17,586.12,0.0
512,256,0,0,63.73,0.03,196.57,448.02,0.0
512,389,0,0,63.73,0.02,213.6,361.41,0.0
512,389,0,0,63.73,0.02,213.6,361.41,0.0
512,389,0,0,63.73,0.02,213.6,361.41,0.0
512,389,0,0,63.73,0.02,213.6,361.41,0.0
512,389,0,0,63.73,0.02,213.6,361.41,0.0
512,389,0,0,63.73,0.02,213.6,361.41,0.0
768,0,0,0,259.71,0.05,196.24,859.71,0.0
768,8,0,0,118.49,0.04,168.58,710.64,0.0
768,16,0,0,175.73,0.05,190.97,775.73,0.0
768,32,0,0,92.83,0.04,181.48,687.19,0.0
768,48,0,0,93.04,0.04,173.86,616.54,0.0
768,64,0,0,80.48,0.04,179.66,599.05,0.0
768,72,0,0,72.11,0.04,188.91,611.61,0.0
768,96,0,0,63.73,0.04,186.74,556.21,0.0
768,128,0,0,63.73,0.03,188.47,507.24,0.0
768,192,0,0,67.92,0.03,211.27,476.69,0.0
768,225,0,0,63.73,0.03,205.32,420.76,0.0
