num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time,energy
71,64,0,0,2262.09,0.2,265.45,2862.09,0.0
72,72,0,0,2376.29,0.21,303.58,2976.29,0.0
48,96,0,0,2358.81,0.21,360.19,2958.81,0.0
42,128,0,0,1276.77,0.13,292.35,1876.77,0.0
37,169,0,0,1172.32,0.12,354.79,1772.32,0.0
70,221,0,0,844.75,0.1,387.48,1444.75,0.0
57,155,0,0,1171.04,0.12,337.3,1771.04,0.0
38,216,0,0,1165.26,0.12,446.78,1765.26,0.0
72,420,0,0,517.05,0.08,549.1,1117.05,0.0
72,228,0,0,918.51,0.11,420.07,1518.51,0.0
70,257,0,0,768.24,0.1,422.11,1368.24,0.0
71,486,0,0,635.45,0.09,698.22,1235.45,0.0
95,0,0,0,3427.11,0.28,113.71,4027.11,0.0
96,8,0,0,3078.08,0.26,137.89,3678.08,0.0
94,16,0,0,2416.84,0.21,138.32,3016.84,0.0
94,31,0,0,2415.73,0.21,188.91,3015.73,0.0
95,48,0,0,2480.02,0.22,252.47,3080.02,0.0
96,64,0,0,2434.06,0.22,303.95,3034.06,0.0
96,71,0,0,2380.66,0.21,321.95,2980.66,0.0
85,96,0,0,2043.86,0.19,350.92,2643.86,0.0
78,128,0,0,1245.88,0.13,307.29,1845.88,0.0
96,190,0,0,1163.78,0.12,425.47,1763.78,0.0
37,219,0,0,1158.01,0.12,450.32,1758.01,0.0
41,391,0,0,640.43,0.09,558.05,1240.43,0.0
94,313,0,0,518.46,0.08,423.14,1118.46,0.0
96,281,0,0,745.1,0.09,461.5,1345.1,0.0
90,221,0,0,637.08,0.09,339.14,1237.08,0.0
50,619,0,0,642.51,0.09,879.45,1242.51,0.0
86,619,0,0,635.45,0.09,887.67,1235.45,0.0
127,0,0,0,2933.07,0.24,133.36,3533.07,0.0
128,8,0,0,2727.31,0.24,156.38,3327.31,0.0
118,16,0,0,2820.86,0.24,181.25,3420.86,0.0
123,32,0,0,1967.05,0.18,185.8,2567.05,0.0
128,48,0,0,2447.63,0.22,279.7,3047.63,0.0
126,64,0,0,2358.81,0.21,322.79,2958.81,0.0
97,72,0,0,1793.99,0.17,261.98,2393.99,0.0
117,96,0,0,1869.57,0.18,351.28,2469.57,0.0
69,128,0,0,1298.47,0.13,310.96,1898.47,0.0
108,192,0,0,637.08,0.09,305.6,1237.08,0.0
41,227,0,0,768.62,0.1,364.46,1368.62,0.0
128,147,0,0,1215.7,0.13,367.87,1815.7,0.0
62,285,0,0,601.16,0.08,405.36,1201.16,0.0
128,355,0,0,628.2,0.09,534.82,1228.2,0.0
128,243,0,0,612.25,0.08,375.88,1212.25,0.0
128,699,0,0,618.64,0.08,999.94,1218.64,0.0
127,571,0,0,481.03,0.07,731.8,1081.03,0.0
192,0,0,0,2468.78,0.22,175.12,3068.78,0.0
189,8,0,0,2449.5,0.22,198.62,3049.5,0.0
145,16,0,0,2631.41,0.23,197.14,3231.41,0.0
192,32,0,0,1850.22,0.17,227.6,2450.22,0.0
190,47,0,0,1844.49,0.17,266.66,2444.49,0.0
165,63,0,0,1978.06,0.18,308.25,2578.06,0.0
121,72,0,0,2290.18,0.21,336.89,2890.18,0.0
188,96,0,0,1251.86,0.13,302.49,1851.86,0.0
57,122,0,0,1311.78,0.13,293.49,1911.78,0.0
76,186,0,0,844.75,0.1,333.46,1444.75,0.0
53,256,0,0,1158.01,0.12,531.5,1758.01,0.0
72,276,0,0,844.75,0.1,477.3,1444.75,0.0
80,467,0,0,663.21,0.09,690.42,1263.21,0.0
191,178,0,0,705.74,0.09,334.31,1305.74,0.0
149,656,0,0,635.45,0.09,961.97,1235.45,0.0
190,607,0,0,341.19,0.06,692.69,941.19,0.0
88,723,0,0,490.7,0.08,911.29,1090.7,0.0
231,0,0,0,2364.71,0.21,203.55,2964.71,0.0
256,8,0,0,2023.01,0.18,223.07,2623.01,0.0
179,16,0,0,2161.53,0.19,196.38,2761.53,0.0
139,32,0,0,2345.01,0.21,227.17,2945.01,0.0
240,47,0,0,2059.35,0.19,329.62,2659.35,0.0
240,63,0,0,1101.81,0.12,241.42,1701.81,0.0
103,71,0,0,2288.79,0.21,318.04,2888.79,0.0
256,91,0,0,1251.86,0.13,329.55,1851.86,0.0
92,108,0,0,1942.32,0.18,376.89,2542.32,0.0
116,153,0,0,1158.01,0.12,361.71,1758.01,0.0
62,206,0,0,1158.01,0.12,437.8,1758.01,0.0
97,175,0,0,1163.78,0.12,396.38,1763.78,0.0
86,512,0,0,305.77,0.06,542.3,905.77,0.0
256,266,0,0,615.6,0.08,454.46,1215.6,0.0
42,740,0,0,593.19,0.08,1003.32,1193.19,0.0
43,597,0,0,603.65,0.08,819.79,1203.65,0.0
256,640,0,0,593.19,0.08,945.64,1193.19,0.0
225,0,0,0,2166.43,0.19,185.0,2766.43,0.0
267,8,0,0,1987.93,0.18,228.55,2587.93,0.0
465,16,0,0,1188.52,0.12,279.22,1788.52,0.0
238,31,0,0,1473.76,0.14,218.66,2073.76,0.0
149,48,0,0,1908.14,0.18,245.85,2508.14,0.0
254,64,0,0,1391.9,0.14,293.09,1991.9,0.0
88,72,0,0,2328.55,0.21,312.64,2928.55,0.0
464,94,0,0,816.27,0.1,344.35,1416.27,0.0
153,128,0,0,1193.44,0.13,338.54,1793.44,0.0
81,161,0,0,1158.01,0.12,359.17,1758.01,0.0
41,167,0,0,1165.26,0.12,351.52,1765.26,0.0
186,263,0,0,1123.0,0.12,602.53,1723.0,0.0
60,343,0,0,642.51,0.09,499.24,1242.51,0.0
479,260,0,0,345.13,0.06,409.64,945.13,0.0
88,486,0,0,637.08,0.09,705.39,1237.08,0.0
439,261,0,0,585.16,0.08,500.92,1185.16,0.0
357,426,0,0,593.19,0.08,695.62,1193.19,0.0
255,0,0,0,2532.45,0.22,237.41,3132.45,0.0
365,8,0,0,1493.89,0.15,245.91,2093.89,0.0
295,16,0,0,1342.14,0.14,205.07,1942.14,0.0
112,32,0,0,2349.77,0.21,203.86,2949.77,0.0
330,46,0,0,1751.95,0.17,351.8,2351.95,0.0
150,64,0,0,1659.18,0.16,262.58,2259.18,0.0
197,66,0,0,2288.79,0.21,382.58,2888.79,0.0
393,95,0,0,1229.18,0.13,408.19,1829.18,0.0
144,125,0,0,1209.92,0.13,330.73,1809.92,0.0
58,158,0,0,1171.32,0.12,343.83,1771.32,0.0
51,169,0,0,1167.37,0.12,361.15,1767.37,0.0
58,224,0,0,1158.01,0.12,471.14,1758.01,0.0
246,449,0,0,232.7,0.06,479.43,832.7,0.0
118,334,0,0,651.39,0.09,511.78,1251.39,0.0
182,379,0,0,1136.31,0.12,830.59,1736.31,0.0
490,610,0,0,276.69,0.06,726.33,876.69,0.0
501,904,0,0,593.19,0.08,1385.16,1193.19,0.0
593,0,0,0,1089.57,0.12,297.79,1689.57,0.0
316,8,0,0,2147.77,0.19,282.68,2747.77,0.0
257,16,0,0,2114.95,0.19,256.01,2714.95,0.0
94,31,0,0,2716.24,0.24,207.73,3316.24,0.0
165,46,0,0,1694.61,0.16,230.69,2294.61,0.0
269,64,0,0,1334.2,0.14,293.22,1934.2,0.0
132,72,0,0,1282.52,0.13,225.59,1882.52,0.0
112,95,0,0,1873.03,0.18,345.32,2473.03,0.0
236,119,0,0,1251.13,0.13,376.44,1851.13,0.0
537,184,0,0,628.2,0.09,449.01,1228.2,0.0
77,183,0,0,1158.01,0.12,400.38,1758.01,0.0
217,397,0,0,628.2,0.09,625.05,1228.2,0.0
113,156,0,0,1158.01,0.12,366.05,1758.01,0.0
321,622,0,0,274.5,0.06,692.34,874.5,0.0
398,696,0,0,68.54,0.04,599.96,668.54,0.0
548,193,0,0,628.2,0.09,465.4,1228.2,0.0
716,935,0,0,171.66,0.05,971.9,771.66,0.0
587,0,0,0,1095.9,0.12,295.88,1695.9,0.0
172,8,0,0,2717.34,0.24,199.3,3317.34,0.0
209,16,0,0,2066.59,0.19,213.41,2666.59,0.0
93,31,0,0,2450.04,0.22,190.15,3050.04,0.0
142,47,0,0,1686.24,0.16,216.78,2286.24,0.0
224,64,0,0,1339.98,0.14,268.15,1939.98,0.0
88,70,0,0,1899.02,0.18,261.19,2499.02,0.0
106,95,0,0,1758.98,0.17,325.19,2358.98,0.0
69,118,0,0,1869.62,0.18,376.87,2469.62,0.0
216,175,0,0,1133.18,0.12,450.8,1733.18,0.0
45,234,0,0,844.75,0.1,397.77,1444.75,0.0
82,275,0,0,754.31,0.09,449.93,1354.31,0.0
209,240,0,0,676.98,0.09,422.41,1276.98,0.0
296,628,0,0,98.4,0.05,552.42,698.4,0.0
292,893,0,0,217.59,0.06,888.27,817.59,0.0
769,374,0,0,571.29,0.08,758.1,1171.29,0.0
795,553,0,0,571.29,0.08,1001.86,1171.29,0.0
609,0,0,0,996.26,0.11,288.94,1596.26,0.0
349,8,0,0,2182.78,0.2,313.58,2782.78,0.0
715,16,0,0,753.49,0.09,311.88,1353.49,0.0
151,32,0,0,2306.55,0.21,234.57,2906.55,0.0
477,48,0,0,828.77,0.1,279.34,1428.77,0.0
155,64,0,0,2004.05,0.18,306.53,2604.05,0.0
71,72,0,0,2323.8,0.21,297.36,2923.8,0.0
321,91,0,0,1242.49,0.13,363.48,1842.49,0.0
243,123,0,0,1206.75,0.13,379.27,1806.75,0.0
18,189,0,0,909.78,0.11,327.51,1509.78,0.0
391,236,0,0,1123.0,0.12,655.43,1723.0,0.0
208,264,0,0,1158.01,0.12,628.23,1758.01,0.0
91,343,0,0,628.2,0.09,504.81,1228.2,0.0
77,325,0,0,1133.18,0.12,670.23,1733.18,0.0
451,422,0,0,599.43,0.08,727.4,1199.43,0.0
213,639,0,0,593.19,0.08,929.06,1193.19,0.0
87,555,0,0,603.37,0.08,778.76,1203.37,0.0
666,0,0,0,794.45,0.09,276.03,1394.45,0.0
631,7,0,0,1339.71,0.13,378.99,1939.71,0.0
181,15,0,0,2089.1,0.19,189.82,2689.1,0.0
416,32,0,0,1119.57,0.12,274.21,1719.57,0.0
101,48,0,0,2409.31,0.21,252.04,3009.31,0.0
728,64,0,0,1195.32,0.13,517.09,1795.32,0.0
149,72,0,0,1393.27,0.14,248.93,1993.27,0.0
312,94,0,0,1234.96,0.13,363.25,1834.96,0.0
