num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time,energy
72,96,0,0,341.08,0.05,121.27,941.08,0.0
72,127,0,0,278.97,0.04,127.86,776.37,0.0
72,192,0,0,278.97,0.03,148.25,627.29,0.0
72,255,0,0,277.76,0.03,192.47,624.94,0.0
72,479,0,0,158.85,0.03,340.35,609.14,0.0
72,509,0,0,158.15,0.03,367.18,617.58,0.0
72,763,0,0,158.4,0.03,535.06,607.24,0.0
72,1022,0,0,137.31,0.03,708.24,606.52,0.0
72,2039,0,0,101.88,0.04,1395.72,605.5,0.0
72,4094,0,0,89.05,0.04,2787.09,605.01,0.0
96,0,0,0,2124.64,0.16,77.74,2724.64,0.0
96,5,0,0,1857.23,0.16,92.12,2457.23,0.0
96,16,0,0,1355.54,0.12,90.82,1955.54,0.0
96,32,0,0,956.0,0.09,100.14,1556.0,0.0
96,48,0,0,668.69,0.07,104.37,1268.69,0.0
96,64,0,0,489.78,0.06,109.17,1089.78,0.0
96,72,0,0,427.56,0.05,112.14,1027.56,0.0
96,96,0,0,280.63,0.04,116.53,856.85,0.0
96,127,0,0,278.97,0.03,123.95,721.36,0.0
96,192,0,0,278.97,0.03,151.87,623.77,0.0
96,255,0,0,277.76,0.03,195.91,621.72,0.0
96,479,0,0,158.85,0.03,344.67,609.1,0.0
96,509,0,0,158.15,0.03,370.02,614.96,0.0
96,763,0,0,158.4,0.03,539.38,607.23,0.0
96,1022,0,0,137.31,0.03,712.56,606.51,0.0
96,2039,0,0,101.88,0.04,1400.02,605.49,0.0
96,4094,0,0,89.05,0.04,2791.38,605.01,0.0
128,0,0,0,1471.93,0.11,78.83,2071.93,0.0
128,5,0,0,1279.02,0.12,88.31,1879.02,0.0
128,16,0,0,1001.1,0.1,89.59,1601.1,0.0
128,32,0,0,728.88,0.08,98.16,1328.88,0.0
128,48,0,0,510.78,0.06,101.95,1110.78,0.0
128,64,0,0,374.44,0.05,106.89,974.44,0.0
128,72,0,0,323.27,0.05,109.54,923.27,0.0
128,96,0,0,280.63,0.04,114.6,787.6,0.0
128,127,0,0,278.97,0.03,121.34,669.17,0.0
128,192,0,0,278.97,0.03,157.53,622.71,0.0
128,255,0,0,277.76,0.03,201.56,620.92,0.0
