num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time,energy
0,8,0,0,18029.49,1.34,223.14,18629.49,0.0
0,16,0,0,7081.38,0.54,184.01,7681.38,0.0
0,32,0,0,3370.44,0.27,190.23,3970.44,0.0
0,48,0,0,2104.12,0.18,194.34,2704.12,0.0
0,64,0,0,1450.96,0.13,196.53,2050.96,0.0
0,72,0,0,1304.43,0.12,205.3,1904.43,0.0
0,96,0,0,759.67,0.08,195.43,1359.67,0.0
0,128,0,0,434.12,0.06,198.18,1034.12,0.0
0,192,0,0,276.21,0.03,212.87,740.49,0.0
0,255,0,0,275.0,0.02,224.88,586.7,0.0
0,480,0,0,275.0,0.0,236.36,328.89,0.0
0,510,0,0,156.1,0.01,259.3,338.26,0.0
0,767,0,0,155.4,0.01,288.97,251.31,0.0
0,1023,0,0,134.96,0.01,454.13,296.2,0.0
0,2042,0,0,86.46,0.01,737.28,240.44,0.0
0,4085,0,0,86.24,0.0,850.48,138.95,0.0
8,0,0,0,37026.09,2.7,284.29,37626.09,0.0
8,5,0,0,12035.43,0.9,246.81,12635.43,0.0
8,16,0,0,5120.51,0.4,180.26,5720.51,0.0
8,32,0,0,2654.6,0.22,180.52,3254.6,0.0
8,48,0,0,1683.75,0.15,181.38,2283.75,0.0
8,64,0,0,1237.58,0.11,189.96,1837.58,0.0
8,72,0,0,1053.05,0.1,190.69,1653.05,0.0
8,96,0,0,653.25,0.07,189.6,1253.25,0.0
8,127,0,0,462.61,0.06,211.67,1062.61,0.0
8,192,0,0,290.9,0.04,254.31,862.02,0.0
8,255,0,0,289.69,0.03,265.54,679.4,0.0
8,479,0,0,170.78,0.03,463.54,638.29,0.0
8,509,0,0,170.08,0.04,520.99,672.99,0.0
8,763,0,0,170.33,0.03,736.48,636.31,0.0
8,1022,0,0,149.24,0.04,1033.25,670.63,0.0
8,2039,0,0,113.82,0.04,1942.93,634.55,0.0
8,4094,0,0,100.98,0.04,3893.47,634.1,0.0
16,0,0,0,14863.95,1.09,233.68,15463.95,0.0
16,5,0,0,7943.22,0.6,231.43,8543.22,0.0
16,16,0,0,4056.9,0.32,181.93,4656.9,0.0
16,32,0,0,2275.08,0.19,181.19,2875.08,0.0
16,48,0,0,1434.81,0.13,176.98,2034.81,0.0
16,64,0,0,1012.07,0.1,178.83,1612.07,0.0
16,72,0,0,909.37,0.09,185.52,1509.37,0.0
16,96,0,0,573.5,0.06,186.4,1173.5,0.0
16,127,0,0,334.02,0.05,193.11,934.02,0.0
16,192,0,0,290.9,0.03,226.62,748.98,0.0
16,255,0,0,289.69,0.03,265.93,667.5,0.0
16,479,0,0,170.78,0.03,468.34,638.26,0.0
16,509,0,0,170.08,0.04,516.91,661.27,0.0
16,763,0,0,170.33,0.03,741.28,636.31,0.0
16,1022,0,0,149.24,0.04,1002.1,647.24,0.0
16,2039,0,0,113.82,0.04,1947.65,634.53,0.0
16,4094,0,0,100.98,0.04,3897.94,634.05,0.0
32,0,0,0,7361.67,0.54,240.62,7961.67,0.0
32,5,0,0,4979.21,0.39,235.44,5579.21,0.0
32,16,0,0,3048.69,0.25,197.68,3648.69,0.0
32,32,0,0,1848.08,0.16,191.28,2448.08,0.0
32,48,0,0,1206.63,0.11,184.44,1806.63,0.0
32,64,0,0,869.4,0.09,185.21,1469.4,0.0
32,72,0,0,771.5,0.08,189.3,1371.5,0.0
32,96,0,0,500.42,0.06,191.42,1100.42,0.0
32,127,0,0,288.5,0.04,197.13,888.5,0.0
32,192,0,0,284.43,0.03,218.2,686.83,0.0
32,255,0,0,283.22,0.03,266.26,643.9,0.0
32,479,0,0,164.31,0.03,464.72,620.55,0.0
32,509,0,0,163.61,0.03,505.35,634.23,0.0
32,763,0,0,163.86,0.03,730.01,618.6,0.0
32,1022,0,0,142.77,0.03,971.45,621.38,0.0
32,2039,0,0,107.35,0.04,1902.71,616.85,0.0
32,4094,0,0,94.51,0.04,3798.5,616.36,0.0
48,0,0,0,4819.62,0.35,245.69,5419.62,0.0
48,5,0,0,3605.95,0.29,241.05,4205.95,0.0
48,16,0,0,2403.61,0.2,208.12,3003.61,0.0
48,32,0,0,1542.56,0.14,199.78,2142.56,0.0
48,48,0,0,1047.55,0.1,193.09,1647.55,0.0
48,64,0,0,761.34,0.08,192.16,1361.34,0.0
48,72,0,0,663.96,0.07,193.55,1263.96,0.0
48,96,0,0,415.82,0.05,192.06,1015.82,0.0
48,127,0,0,281.93,0.04,199.62,842.36,0.0
48,192,0,0,281.93,0.03,213.04,640.13,0.0
48,255,0,0,280.72,0.03,272.97,636.86,0.0
48,479,0,0,161.81,0.03,472.16,618.02,0.0
48,509,0,0,161.11,0.03,512.18,630.83,0.0
48,763,0,0,161.36,0.03,736.36,616.1,0.0
48,1022,0,0,140.27,0.03,974.81,617.56,0.0
48,2039,0,0,104.85,0.04,1904.26,614.34,0.0
48,4094,0,0,92.01,0.04,3792.33,613.85,0.0
64,0,0,0,3508.79,0.26,248.35,4108.79,0.0
64,5,0,0,2778.43,0.23,244.67,3378.43,0.0
64,16,0,0,1955.78,0.17,215.71,2555.78,0.0
64,32,0,0,1313.76,0.12,207.37,1913.76,0.0
64,48,0,0,894.57,0.09,197.75,1494.57,0.0
64,64,0,0,652.51,0.07,195.73,1252.51,0.0
64,72,0,0,578.2,0.07,198.23,1178.2,0.0
64,96,0,0,364.79,0.05,196.99,964.79,0.0
64,127,0,0,280.57,0.04,198.96,789.25,0.0
64,192,0,0,280.57,0.03,219.03,629.56,0.0
64,255,0,0,279.36,0.03,278.43,627.47,0.0
64,479,0,0,160.45,0.03,475.83,610.74,0.0
64,509,0,0,159.75,0.03,512.73,619.97,0.0
64,763,0,0,160.0,0.03,736.89,608.84,0.0
64,1022,0,0,138.91,0.03,969.1,608.12,0.0
64,2039,0,0,103.48,0.04,1890.98,607.1,0.0
64,4094,0,0,90.65,0.04,3756.8,606.61,0.0
72,0,0,0,3216.08,0.24,259.49,3816.08,0.0
72,5,0,0,2581.84,0.21,254.48,3181.84,0.0
72,16,0,0,1844.23,0.16,224.76,2444.23,0.0
72,32,0,0,1241.6,0.11,213.46,1841.6,0.0
72,48,0,0,852.62,0.09,203.17,1452.62,0.0
72,64,0,0,627.87,0.07,201.15,1227.87,0.0
72,72,0,0,544.27,0.06,201.16,1144.27,0.0
72,96,0,0,341.08,0.05,199.26,941.08,0.0
72,127,0,0,278.97,0.04,201.58,776.37,0.0
72,192,0,0,278.97,0.03,222.98,627.29,0.0
72,255,0,0,277.76,0.03,282.03,624.94,0.0
72,479,0,0,158.85,0.03,479.19,609.14,0.0
72,509,0,0,158.15,0.03,515.42,617.58,0.0
72,763,0,0,158.4,0.03,739.54,607.24,0.0
72,1022,0,0,137.31,0.03,971.13,606.52,0.0
72,2039,0,0,101.88,0.04,1890.57,605.5,0.0
72,4094,0,0,89.05,0.04,3751.47,605.01,0.0
96,0,0,0,2124.64,0.16,247.03,2724.64,0.0
96,5,0,0,1857.23,0.16,252.22,2457.23,0.0
96,16,0,0,1355.54,0.12,224.15,1955.54,0.0
96,32,0,0,956.0,0.09,215.63,1556.0,0.0
96,48,0,0,668.69,0.07,206.21,1268.69,0.0
96,64,0,0,489.78,0.06,203.23,1089.78,0.0
96,72,0,0,427.56,0.05,203.94,1027.56,0.0
96,96,0,0,280.63,0.04,200.85,856.85,0.0
96,127,0,0,278.97,0.03,203.65,721.36,0.0
96,192,0,0,278.97,0.03,235.87,623.77,0.0
96,255,0,0,277.76,0.03,294.67,621.72,0.0
96,479,0,0,158.85,0.03,492.96,609.1,0.0
96,509,0,0,158.15,0.03,527.17,614.96,0.0
96,763,0,0,158.4,0.03,753.28,607.23,0.0
96,1022,0,0,137.31,0.03,984.87,606.51,0.0
96,2039,0,0,101.88,0.04,1904.28,605.49,0.0
96,4094,0,0,89.05,0.04,3765.15,605.01,0.0
128,0,0,0,1471.93,0.11,250.47,2071.93,0.0
128,5,0,0,1279.02,0.12,249.66,1879.02,0.0
128,16,0,0,1001.1,0.1,231.91,1601.1,0.0
128,32,0,0,728.88,0.08,224.31,1328.88,0.0
128,48,0,0,510.78,0.06,214.11,1110.78,0.0
128,64,0,0,374.44,0.05,211.17,974.44,0.0
128,72,0,0,323.27,0.05,211.14,923.27,0.0
128,96,0,0,280.63,0.04,208.42,787.6,0.0
128,127,0,0,278.97,0.03,209.14,669.17,0.0
128,192,0,0,278.97,0.03,254.29,622.71,0.0
128,255,0,0,277.76,0.03,313.05,620.92,0.0
128,479,0,0,158.85,0.03,503.62,599.87,0.0
128,509,0,0,158.15,0.03,545.34,614.49,0.0
128,763,0,0,158.4,0.03,762.5,600.04,0.0
128,1022,0,0,137.31,0.03,999.55,604.3,0.0
128,2039,0,0,101.88,0.04,1887.19,594.35,0.0
128,4094,0,0,89.05,0.04,3713.76,593.87,0.0
192,0,0,0,880.37,0.07,268.44,1480.37,0.0
192,5,0,0,855.68,0.09,281.4,1455.68,0.0
192,16,0,0,642.97,0.07,255.17,1242.97,0.0
192,32,0,0,458.12,0.06,242.57,1058.12,0.0
192,48,0,0,318.21,0.05,232.49,918.21,0.0
192,64,0,0,279.3,0.04,228.29,823.69,0.0
192,72,0,0,279.3,0.04,227.94,788.37,0.0
192,96,0,0,279.3,0.03,221.68,681.97,0.0
192,127,0,0,277.63,0.03,235.96,632.64,0.0
192,192,0,0,277.63,0.02,287.63,613.55,0.0
192,255,0,0,276.43,0.02,345.5,611.91,0.0
192,479,0,0,157.52,0.03,534.61,594.01,0.0
192,509,0,0,156.82,0.03,574.78,606.37,0.0
