num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time,energy
5,0,0,0,29407.62,2.15,226.72,30007.62,39486139.06
16,0,0,0,9686.08,0.71,155.43,10286.08,40431179.76
32,0,0,0,4958.75,0.36,168.0,5558.75,41295864.94
48,0,0,0,3218.96,0.24,173.13,3818.96,41648823.24
64,0,0,0,2309.89,0.17,175.89,2909.89,41838801.54
72,0,0,0,2000.55,0.15,176.84,2600.55,41904224.9
96,0,0,0,1449.03,0.11,185.78,2049.03,43079346.11
128,0,0,0,948.59,0.07,187.21,1548.59,43177644.24
190,0,0,0,556.95,0.04,204.15,1125.85,44385199.47
254,0,0,0,556.95,0.02,204.62,846.32,44453677.85
474,0,0,0,340.8,0.02,262.43,578.88,53945227.03
508,0,0,0,337.73,0.02,266.14,550.38,54399317.25
764,0,0,0,253.99,0.02,364.84,502.99,77052939.28
1016,0,0,0,250.34,0.01,418.73,436.38,81723159.27
2032,0,0,0,177.49,0.01,533.59,278.04,107117760.04
3768,0,0,0,122.99,0.01,716.7,201.4,143710563.57
