num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time,energy
8,0,0,0,1344.23,0.14,14.69,1944.23,3090082.9
16,0,0,0,268.52,0.06,13.12,868.52,3052263.51
32,0,0,0,45.63,0.03,14.11,466.88,3206972.02
48,0,0,0,43.13,0.02,14.97,330.15,3274519.19
64,0,0,0,41.77,0.02,15.37,254.26,3414957.09
72,0,0,0,40.17,0.01,16.24,238.8,3475161.17
96,0,0,0,40.17,0.01,16.58,182.9,3502506.84
128,0,0,0,39.47,0.01,17.88,147.87,3628711.39
192,0,0,0,38.14,0.01,19.99,110.25,3979647.36
254,0,0,0,37.84,0.0,22.74,94.06,4169392.05
477,0,0,0,24.33,0.0,33.33,73.52,5249112.45
509,0,0,0,24.33,0.0,34.34,71.01,5319031.26
767,0,0,0,18.9,0.0,49.14,67.75,7345335.1
1021,0,0,0,18.77,0.0,59.14,61.16,8049951.89
2043,0,0,0,12.34,0.0,103.12,53.31,12327477.87
3777,0,0,0,10.71,0.0,171.48,47.98,18393474.81
