num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time,energy
8,0,0,0,15006.41,2.16,115.65,15306.41,22048900.02
16,0,0,0,6452.51,0.9,102.04,6752.51,21668177.93
32,0,0,0,3632.14,0.49,118.84,3932.14,23023088.89
48,0,0,0,2518.41,0.33,127.77,2818.41,23710081.53
64,0,0,0,1898.22,0.24,132.87,2198.22,24128695.12
72,0,0,0,1895.36,0.24,149.28,2195.36,25256934.98
96,0,0,0,1392.31,0.16,153.44,1692.31,25854510.55
128,0,0,0,922.29,0.1,147.76,1222.29,25494485.02
192,0,0,0,899.5,0.09,217.51,1199.5,30453532.18
256,0,0,0,897.94,0.09,289.64,1197.94,35403011.08
478,0,0,0,559.72,0.04,373.52,823.94,41067349.72
494,0,0,0,559.72,0.04,385.95,823.89,41922795.63
526,0,0,0,559.72,0.02,334.46,670.72,38409399.4
557,0,0,0,422.25,0.06,381.99,722.25,44454505.11
669,0,0,0,343.62,0.02,297.28,468.4,38690620.16
893,0,0,0,253.23,0.03,370.21,437.49,52161542.61
