num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time,energy
2,0,0,0,76301.3,0.5,630.9,83501.3,17693209957.85
9,0,0,0,3615.66,0.06,163.44,10815.66,2015115098.91
25,0,0,0,1044.92,0.02,117.66,3893.22,522393767.58
41,0,0,0,1044.92,0.01,113.73,2508.73,224208925.31
57,0,0,0,1044.92,0.01,115.77,1915.38,96672152.91
65,0,0,0,1044.92,0.0,117.64,1729.96,56901151.54
89,0,0,0,1044.92,0.0,124.75,1375.97,2864630.74
121,0,0,0,1044.92,0.0,135.91,1124.24,3763190.74
185,0,0,0,1044.92,0.0,160.2,883.46,5560310.74
249,0,0,0,1044.92,0.0,185.43,766.96,7357430.74
473,0,0,0,1044.92,0.0,275.62,607.99,13647350.74
505,0,0,0,1044.92,0.0,288.6,596.82,14545910.74
761,0,0,0,610.74,0.0,406.66,560.66,21795975.7
1017,0,0,0,610.74,0.0,510.87,528.24,28984455.7
2041,0,0,0,371.5,0.0,952.99,492.7,57830537.81
4089,0,0,0,260.05,0.0,1834.83,474.31,115545588.75
