num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time,energy
8,0,0,0,357356.05,2.2,2754.42,364556.05,573357038.54
16,0,0,0,153386.3,0.97,2426.64,160586.3,564055677.3
32,0,0,0,86285.92,0.56,2825.35,93485.92,604863307.24
48,0,0,0,59784.04,0.4,3036.61,66984.04,621125413.9
64,0,0,0,45054.37,0.31,3158.49,52254.37,646445078.06
72,0,0,0,44950.37,0.31,3546.23,52150.37,673137390.61
96,0,0,0,31483.89,0.23,3507.34,38683.89,671336423.43
128,0,0,0,20755.72,0.17,3379.54,27955.72,663237931.4
192,0,0,0,15461.04,0.13,4109.2,22661.04,743869591.1
256,0,0,0,15433.31,0.13,5472.23,22633.31,837679838.6
480,0,0,0,10246.27,0.1,7908.98,17446.27,1005722476.4
512,0,0,0,10244.98,0.1,8435.62,17444.98,1041967812.29
768,0,0,0,7025.33,0.08,10318.1,14225.33,1171698736.48
1024,0,0,0,4828.03,0.07,11632.44,12028.03,1262298726.85
2048,0,0,0,671.65,0.04,15225.51,7871.65,1509704846.0
4096,0,0,0,576.62,0.03,18397.07,4755.68,1727845504.54
