world_size,steps,frames,width,height,total_time,avg_steps_time,vae_time
1,10,324,640,480,14.334685,1.165,2.687685
2,10,324,640,480,10.777685,0.809,2.687685
4,10,324,640,480,8.197685,0.551,2.687685
8,10,324,640,480,7.220685,0.453,2.687685
10,10,324,640,480,6.697685,0.401,2.687685
16,10,324,640,480,6.348685,0.366,2.687685
20,10,324,640,480,6.104685,0.342,2.687685
24,10,324,640,480,5.895685,0.321,2.687685
32,10,324,640,480,5.756685,0.307,2.687685
40,10,324,640,480,5.651685,0.296,2.687685
