world_size,steps,frames,width,height,total_time,avg_steps_time,vae_time
1,10,77,640,480,39.8,3.864272,1.157279
2,10,77,640,480,25.3,2.414272,1.157279
4,10,77,640,480,19.1,1.794272,1.157279
# Extrapolated after 4 GPUs
8,10,77,640,480,13.7,1.254272,1.157279
10,10,77,640,480,11.9,1.074272,1.157279
16,10,77,640,480,10.6,0.944272,1.157279
20,10,77,640,480,10.0,0.884272,1.157279
24,10,77,640,480,9.4,0.824272,1.157279
32,10,77,640,480,8.7,0.754272,1.157279
40,10,77,640,480,8.1,0.694272,1.157279
# GB200,vae_dec with 10 steps, 784x496 pixels => 1.56 seconds out of 53.65 total
