world_size,steps,frames,width,height,total_time,avg_steps_time,vae_time
1,10,77,640,480,125.91,12.209252,3.817476
2,10,77,640,480,75.82,7.200252,3.817476
4,10,77,640,480,55.92,5.210252,3.817476
8,10,77,640,480,38.61,3.479252,3.817476
10,10,77,640,480,31.84,2.802252,3.817476
16,10,77,640,480,25.87,2.205252,3.817476
20,10,77,640,480,23.88,2.006252,3.817476
24,10,77,640,480,21.89,1.807252,3.817476
32,10,77,640,480,19.9,1.608252,3.817476
40,10,77,640,480,18.9,1.508252,3.817476
# A100,vae_dec with 10 steps, 784x496 pixels => 5.15 seconds out of 169.86 total
