world_size,steps,frames,width,height,total_time,avg_steps_time,vae_time
1,10,324,640,480,10.683,0.845,2.233
2,10,324,640,480,8.323,0.609,2.233
4,10,324,640,480,7.203,0.497,2.233
8,10,324,640,480,5.723,0.349,2.233
10,10,324,640,480,5.313,0.308,2.233
16,10,324,640,480,5.053,0.282,2.233
20,10,324,640,480,4.863,0.263,2.233
24,10,324,640,480,4.703,0.247,2.233
32,10,324,640,480,4.593,0.236,2.233
40,10,324,640,480,4.513,0.228,2.233
# Extrapolated after 4 GPUs
