world_size,steps,frames,width,height,total_time,avg_steps_time,vae_time
1,10,77,640,480,63.48,6.191441,1.565587
2,10,77,640,480,35.22,3.365441,1.565587
4,10,77,640,480,30.31,2.874441,1.565587
8,10,77,640,480,21.89,2.032441,1.565587
10,10,77,640,480,18.91,1.734441,1.565587
16,10,77,640,480,16.92,1.535441,1.565587
20,10,77,640,480,15.92,1.435441,1.565587
24,10,77,640,480,14.93,1.336441,1.565587
32,10,77,640,480,13.93,1.236441,1.565587
40,10,77,640,480,12.94,1.137441,1.565587
# H100,vae_dec with 10 steps, 784x496 pixels => 2.23 seconds out of 90.42 total
