world_size,steps,frames,width,height,total_time,avg_steps_time,vae_time
1,10,324,640,480,32.925514,2.675,6.173514
2,10,324,640,480,24.411514,1.824,6.173514
4,10,324,640,480,20.742514,1.457,6.173514
8,10,324,640,480,16.632514,1.046,6.173514
10,10,324,640,480,14.283514,0.811,6.173514
16,10,324,640,480,12.705514,0.653,6.173514
20,10,324,640,480,11.971514,0.58,6.173514
24,10,324,640,480,11.494514,0.532,6.173514
32,10,324,640,480,11.090514,0.492,6.173514
40,10,324,640,480,10.797514,0.462,6.173514
