world_size,steps,frames,width,height,total_time,avg_steps_time,vae_time
1,10,324,640,480,15.085468,1.226,2.828468
2,10,324,640,480,11.342468,0.851,2.828468
4,10,324,640,480,8.626468,0.58,2.828468
8,10,324,640,480,7.599468,0.477,2.828468
10,10,324,640,480,7.048468,0.422,2.828468
16,10,324,640,480,6.681468,0.385,2.828468
20,10,324,640,480,6.424468,0.36,2.828468
24,10,324,640,480,6.204468,0.338,2.828468
32,10,324,640,480,6.057468,0.323,2.828468
40,10,324,640,480,5.947468,0.312,2.828468
